iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,1.0091436205315425,740368.9957,-13539.306300000055,0.017958823724426972,,,0.009060772268199357,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,1.0091436205315425,1.0483852522633708,742267.6522,-11640.649800000014,0.015440405377045462,0.00025921947031288926,0.0029026380507210163,0.03743054535258777,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.0483852522633708,0.6989235015089138,742051.3924,-11856.909600000014,0.01572725697348802,5.807026742132787e-05,0.0001936852863723235,0.5000000000000001,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,0.6989235015089138,0.46594900100594255,743778.2202,-10130.081800000044,0.013436755866895923,0.000815913150561279,0.0007806603072899085,0.49999999999999994,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,0.46594900100594255,0.31063266733729505,746868.0728,-7040.22920000006,0.009338309687429413,0.0014257755495152638,0.0014559982280287994,0.4999999999999999,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,0.31063266733729505,0.23712504480495533,751068.4118,-2839.8902000000235,0.0037668907378606152,0.00185713298659716,0.002043744702498187,0.30999518668642795,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,0.23712504480495533,0.25877790022192504,755971.6112,2063.309200000018,0.002736817189207737,0.002093918677970222,0.0024006580421845453,0.08367351075343166,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,0.25877790022192504,0.23726701495968222,760893.5712,6985.269199999981,0.009265409574969742,0.002055736732635905,0.0023940784803156397,0.09066108605908862,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,0.23726701495968222,0.27217678470312373,766191.8148,12283.512800000026,0.01629311252762942,0.002144401781316406,0.0025253055584127876,0.1282613790206952,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,0.27217678470312373,0.19046178401974517,771432.3849,17524.08289999992,0.023244316123739835,0.002041078152629301,0.002396257905176434,0.42903620326746056,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
10,0.19046178401974517,0.2856926760296178,777330.5468,23422.244799999986,0.031067763463891375,0.00233509302106982,0.0027945681626638246,0.3333333333333334,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_10/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_05-49-09-129015_omne_0.800/iteration_10/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
