iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,1.0,733665.173,-20243.129000000074,0.026850916678193143,,,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,1.0,1.0,733118.8988,-20789.40320000006,0.027575506390961665,0.00011947940178960876,0.0005726395895852868,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.0,1.0,733561.3235,-20346.97849999997,0.026988664862852202,0.00011783226966973418,0.0010444998762132313,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,1.0,1.0,733278.8527,-20629.44929999998,0.027363340137352643,0.00010513386129780895,0.0003264979569080329,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,1.0,1.0,733030.166,-20878.136000000057,0.02769320346335708,0.0001788316297907842,0.00032973462302578963,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,1.0,1.0,732812.3099,-21095.992100000032,0.027982172426057238,0.0002429481283711713,0.0003432813986427269,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,1.0,1.0,732622.9472,-21285.354799999972,0.028233347137222493,0.00029657435129332215,0.00036121817601075204,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,1.0,1.0,732459.4021,-21448.899900000077,0.028450276834861114,0.00034090436879433145,0.0003797856822401053,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,1.0,1.0,732319.064,-21589.238000000012,0.028636424274314478,0.0003769539345574159,0.0003969020138811814,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,1.0,1.0,732199.4121,-21708.889900000067,0.028795133098295643,0.0004056999956833335,0.00041152855241622586,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
10,1.0,1.0,732098.0989,-21810.203100000042,0.028929517080712612,0.0004280489150611302,0.0004232382984973377,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_10/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_10/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
11,1.0,1.0,732012.9115,-21895.39049999998,0.0290425114591721,0.0004447310696727413,0.00043191015876598303,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_11/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_11/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
12,1.0,1.0,731941.827,-21966.474999999977,0.029136799451241452,0.0004565362199780765,0.0004376675956452154,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_12/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_12/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
13,1.0,1.0,731882.9974,-22025.304600000032,0.02921483228340949,0.0004640501039646499,0.00044068063141832717,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_13/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_13/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
14,1.0,1.0,731834.7372,-22073.56480000005,0.029278845638710117,0.0004679453449705779,0.0004412437739994494,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_14/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_14/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
15,1.0,1.0,731795.5392,-22112.762800000026,0.02933083869926667,0.0004685803028297621,0.0004395414674138792,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_15/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_15/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
16,1.0,1.0,731764.0302,-22144.271799999988,0.029372632906753675,0.00046653585611585883,0.0004359067765912551,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_16/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_16/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
17,1.0,1.0,731739.0002,-22169.301800000016,0.02940583323089605,0.00046224165698469864,0.0004306120579001352,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_17/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_17/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
18,1.0,1.0,731719.3591,-22188.942900000024,0.029431885603509407,0.0004559063861921407,0.0004238133126363892,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_18/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_18/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
19,1.0,1.0,731704.1462,-22204.155800000066,0.029452064317498475,0.00044798539952809445,0.0004158145722461704,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_19/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_19/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
20,1.0,1.0,731692.5037,-22215.798300000024,0.029467507177020083,0.00043874393553271224,0.00040681346727901486,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_20/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_20/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
21,1.0,1.0,731683.691,-22224.611000000034,0.029479196529659694,0.00042839186845506554,0.0003969736369189799,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_21/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_02-31-29-129015_ne_ped_scale_0.800/iteration_21/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
