iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,1.0,742221.7534,-11686.54859999998,0.015501286521182227,,,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,1.0,1.0,742405.4433,-11502.858699999982,0.015257636332541648,3.579346765859835e-05,0.0002613821612399377,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.0,1.0,742578.0698,-11330.23219999997,0.015028660872870941,3.792532484925523e-05,0.00024353650238859937,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,1.0,1.0,742738.5122,-11169.789800000028,0.014815846662476503,3.947952275374545e-05,0.0002246347601764565,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,1.0,1.0,742886.5393,-11021.76270000008,0.014619500369953586,4.049209430595202e-05,0.00020587255042467566,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,1.0,1.0,743012.4872,-10895.814800000051,0.014452440397718357,3.967951822177024e-05,0.00018108780384279145,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,1.0,1.0,743127.4139,-10780.888099999982,0.014299999179475784,4.005645445947114e-05,0.0001647712004007587,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,1.0,1.0,743232.0079,-10676.294100000057,0.014161263474188479,4.0137204258545664e-05,0.00014980203979029466,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,1.0,1.0,743327.0085,-10581.293500000029,0.01403525265861846,3.997753045053133e-05,0.00013621610933005115,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,1.0,1.0,743413.1686,-10495.13340000005,0.013920968070199139,3.971246726389316e-05,0.0001240475921391014,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260925/20260925_06-43-45-129015_omt_0.950/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
