   FROM CHEASE,SI UNITS,COCOS=2, IP,B0>020260924   3 513 513
 1.356582998E+00 2.546706524E+00 8.500000000E-01 1.498580280E-01-8.045780290E-03
 9.444444004E-01-8.045780290E-03-6.949544239E-02 0.000000000E+00 -4.75509380E-01
 7.535706096E+05-6.949544239E-02 0.000000000E+00 9.444444004E-01 0.000000000E+00
-8.045780290E-03 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 -4.54706432E-01 -4.54554952E-01 -4.54402712E-01 -4.54250171E-01 -4.54097478E-01
 -4.53943658E-01 -4.53787853E-01 -4.53630271E-01 -4.53471072E-01 -4.53310248E-01
 -4.53147773E-01 -4.52983751E-01 -4.52818267E-01 -4.52651367E-01 -4.52483091E-01
 -4.52313498E-01 -4.52142641E-01 -4.51970581E-01 -4.51797377E-01 -4.51623063E-01
 -4.51447680E-01 -4.51271288E-01 -4.51093947E-01 -4.50915686E-01 -4.50736531E-01
 -4.50556540E-01 -4.50375775E-01 -4.50194253E-01 -4.50011997E-01 -4.49829062E-01
 -4.49645501E-01 -4.49461332E-01 -4.49276561E-01 -4.49091247E-01 -4.48905450E-01
 -4.48719172E-01 -4.48532426E-01 -4.48345263E-01 -4.48157724E-01 -4.47969820E-01
 -4.47781564E-01 -4.47592997E-01 -4.47404157E-01 -4.47215055E-01 -4.47025703E-01
 -4.46836135E-01 -4.46646387E-01 -4.46456465E-01 -4.46266384E-01 -4.46076172E-01
 -4.45885865E-01 -4.45695461E-01 -4.45504974E-01 -4.45314432E-01 -4.45123868E-01
 -4.44933288E-01 -4.44742691E-01 -4.44552109E-01 -4.44361562E-01 -4.44171060E-01
 -4.43980612E-01 -4.43790235E-01 -4.43599954E-01 -4.43409773E-01 -4.43219696E-01
 -4.43029746E-01 -4.42839939E-01 -4.42650281E-01 -4.42460783E-01 -4.42271457E-01
 -4.42082320E-01 -4.41893382E-01 -4.41704644E-01 -4.41516121E-01 -4.41327828E-01
 -4.41139769E-01 -4.40951951E-01 -4.40764387E-01 -4.40577087E-01 -4.40390056E-01
 -4.40203302E-01 -4.40016835E-01 -4.39830665E-01 -4.39644798E-01 -4.39459242E-01
 -4.39274002E-01 -4.39089087E-01 -4.38904505E-01 -4.38720261E-01 -4.38536360E-01
 -4.38352811E-01 -4.38169619E-01 -4.37986790E-01 -4.37804329E-01 -4.37622243E-01
 -4.37440537E-01 -4.37259216E-01 -4.37078285E-01 -4.36897750E-01 -4.36717615E-01
 -4.36537886E-01 -4.36358567E-01 -4.36179662E-01 -4.36001176E-01 -4.35823113E-01
 -4.35645478E-01 -4.35468274E-01 -4.35291506E-01 -4.35115176E-01 -4.34939289E-01
 -4.34763850E-01 -4.34588862E-01 -4.34414328E-01 -4.34240250E-01 -4.34066633E-01
 -4.33893481E-01 -4.33720796E-01 -4.33548581E-01 -4.33376837E-01 -4.33205569E-01
 -4.33034782E-01 -4.32864475E-01 -4.32694651E-01 -4.32525313E-01 -4.32356465E-01
 -4.32188108E-01 -4.32020245E-01 -4.31852877E-01 -4.31686006E-01 -4.31519636E-01
 -4.31353769E-01 -4.31188408E-01 -4.31023555E-01 -4.30859210E-01 -4.30695375E-01
 -4.30532054E-01 -4.30369247E-01 -4.30206958E-01 -4.30045187E-01 -4.29883934E-01
 -4.29723202E-01 -4.29562994E-01 -4.29403311E-01 -4.29244156E-01 -4.29085529E-01
 -4.28927431E-01 -4.28769863E-01 -4.28612827E-01 -4.28456325E-01 -4.28300359E-01
 -4.28144929E-01 -4.27990037E-01 -4.27835682E-01 -4.27681867E-01 -4.27528593E-01
 -4.27375861E-01 -4.27223673E-01 -4.27072029E-01 -4.26920929E-01 -4.26770374E-01
 -4.26620366E-01 -4.26470905E-01 -4.26321993E-01 -4.26173631E-01 -4.26025820E-01
 -4.25878560E-01 -4.25731851E-01 -4.25585694E-01 -4.25440090E-01 -4.25295041E-01
 -4.25150547E-01 -4.25006608E-01 -4.24863227E-01 -4.24720402E-01 -4.24578135E-01
 -4.24436425E-01 -4.24295273E-01 -4.24154680E-01 -4.24014648E-01 -4.23875176E-01
