#psi, P, q
0.000000000000000000e+00 1.327980285999999978e+04 1.199999999999999956e+00
1.953125000000000000e-03 1.323851195000000007e+04 1.203045547000000104e+00
3.906250000000000000e-03 1.319778779000000031e+04 1.205604989000000016e+00
5.859375000000000000e-03 1.315743195999999989e+04 1.208117713999999898e+00
7.812500000000000000e-03 1.311737742000000071e+04 1.210599755000000055e+00
9.765625000000000000e-03 1.307801415000000088e+04 1.213043405000000075e+00
1.171875000000000000e-02 1.303968579999999929e+04 1.215485265999999953e+00
1.367187500000000000e-02 1.300230440000000090e+04 1.217904824999999969e+00
1.562500000000000000e-02 1.296579968999999983e+04 1.220298405000000086e+00
1.757812500000000000e-02 1.293016806999999972e+04 1.222671567999999986e+00
1.953125000000000000e-02 1.289541201000000001e+04 1.225019695999999936e+00
2.148437500000000000e-02 1.286148648999999932e+04 1.227344530000000100e+00
2.343750000000000000e-02 1.282835325000000012e+04 1.229652036999999920e+00
2.539062500000000000e-02 1.279598912000000018e+04 1.231940312999999954e+00
2.734375000000000000e-02 1.276437545999999929e+04 1.234207853000000021e+00
2.929687500000000000e-02 1.273348439999999937e+04 1.236457856999999994e+00
3.125000000000000000e-02 1.270329199999999946e+04 1.238692233999999948e+00
3.320312500000000000e-02 1.267377027000000089e+04 1.240909693000000091e+00
3.515625000000000000e-02 1.264489285000000018e+04 1.243109664999999975e+00
3.710937500000000000e-02 1.261664249999999993e+04 1.245293428999999952e+00
3.906250000000000000e-02 1.258900123999999960e+04 1.247463184999999974e+00
4.101562500000000000e-02 1.256194124000000011e+04 1.249619266999999923e+00
4.296875000000000000e-02 1.253543606999999975e+04 1.251761442999999918e+00
4.492187500000000000e-02 1.250947229999999945e+04 1.253889631999999921e+00
4.687500000000000000e-02 1.248403688999999940e+04 1.256004872999999966e+00
4.882812500000000000e-02 1.245910375000000022e+04 1.258108388999999994e+00
5.078125000000000000e-02 1.243464650000000074e+04 1.260200629999999933e+00
5.273437500000000000e-02 1.241065555999999924e+04 1.262281731999999934e+00
5.468750000000000000e-02 1.238712024000000019e+04 1.264351873000000070e+00
5.664062500000000000e-02 1.236401625000000058e+04 1.266411683999999926e+00
5.859375000000000000e-02 1.234131991999999991e+04 1.268462079999999936e+00
6.054687500000000694e-02 1.231902267000000029e+04 1.270503592999999931e+00
6.250000000000000000e-02 1.229712054999999964e+04 1.272536467999999976e+00
6.445312500000000000e-02 1.227558763999999974e+04 1.274561073999999961e+00
6.640625000000000000e-02 1.225439782000000014e+04 1.276577776999999969e+00
6.835937500000000000e-02 1.223354969999999958e+04 1.278586922999999986e+00
7.031250000000000000e-02 1.221303585999999996e+04 1.280588936000000011e+00
7.226562500000000000e-02 1.219283496999999988e+04 1.282584364999999949e+00
7.421875000000000000e-02 1.217292850999999973e+04 1.284573750000000070e+00
7.617187500000000000e-02 1.215331156000000010e+04 1.286557436000000054e+00
7.812500000000000000e-02 1.213397686000000067e+04 1.288535752000000034e+00
8.007812500000000000e-02 1.211490718000000015e+04 1.290509079000000003e+00
8.203125000000000000e-02 1.209608627999999953e+04 1.292477775999999912e+00
8.398437500000000000e-02 1.207750825000000077e+04 1.294442123000000056e+00
8.593750000000000000e-02 1.205916754000000037e+04 1.296402373999999913e+00
8.789062500000000000e-02 1.204104893000000084e+04 1.298358829999999964e+00
8.984375000000000000e-02 1.202313784999999916e+04 1.300311876000000089e+00
9.179687500000000000e-02 1.200542996999999923e+04 1.302261963999999939e+00
9.375000000000000000e-02 1.198791941000000043e+04 1.304209455000000073e+00
9.570312500000000000e-02 1.197059301000000050e+04 1.306154684000000010e+00
9.765625000000000000e-02 1.195343642999999975e+04 1.308097963999999891e+00
9.960937500000000000e-02 1.193644914000000063e+04 1.310039533000000089e+00
1.015625000000000000e-01 1.191962513000000035e+04 1.311979637999999948e+00
1.035156250000000000e-01 1.190295192999999927e+04 1.313918547000000103e+00
1.054687500000000000e-01 1.188641580000000067e+04 1.315856522999999889e+00
1.074218750000000000e-01 1.187001405999999952e+04 1.317793755999999927e+00
1.093750000000000000e-01 1.185374580000000060e+04 1.319730470999999961e+00
1.113281250000000000e-01 1.183759830999999940e+04 1.321667085999999935e+00
1.132812500000000000e-01 1.182156251999999949e+04 1.323603921999999988e+00
1.152343749999999861e-01 1.180563364000000001e+04 1.325541215999999967e+00
1.171875000000000000e-01 1.178980824000000030e+04 1.327479225000000040e+00
1.191406250000000000e-01 1.177407847000000038e+04 1.329418216000000097e+00
1.210937500000000139e-01 1.175843377999999939e+04 1.331358456000000023e+00
1.230468749999999861e-01 1.174287262000000010e+04 1.333300157000000041e+00
1.250000000000000000e-01 1.172739234000000033e+04 1.335243487999999923e+00
1.269531250000000000e-01 1.171198348000000078e+04 1.337188577999999906e+00
1.289062500000000000e-01 1.169663977999999952e+04 1.339135610000000032e+00
1.308593750000000000e-01 1.168135754000000088e+04 1.341084820000000066e+00
1.328125000000000000e-01 1.166613297000000057e+04 1.343036507000000102e+00
1.347656250000000000e-01 1.165096067000000039e+04 1.344990960999999929e+00
1.367187500000000000e-01 1.163583299000000079e+04 1.346948427999999920e+00
1.386718750000000000e-01 1.162074640999999974e+04 1.348909114000000020e+00
1.406250000000000000e-01 1.160569981999999982e+04 1.350873197000000081e+00
1.425781250000000000e-01 1.159068708999999944e+04 1.352840848000000040e+00
1.445312500000000000e-01 1.157570205999999962e+04 1.354812230999999922e+00
1.464843750000000000e-01 1.156074310999999943e+04 1.356787493999999983e+00
1.484375000000000000e-01 1.154580728000000090e+04 1.358766794000000111e+00
1.503906250000000000e-01 1.153088875000000007e+04 1.360750300000000079e+00
1.523437500000000000e-01 1.151598375999999917e+04 1.362738232999999966e+00
1.542968750000000000e-01 1.150109026000000085e+04 1.364730851000000023e+00
1.562500000000000000e-01 1.148620472999999947e+04 1.366728396999999928e+00
1.582031250000000000e-01 1.147132308000000012e+04 1.368731090000000039e+00
1.601562500000000000e-01 1.145644152000000031e+04 1.370739080999999970e+00
1.621093750000000000e-01 1.144155678000000080e+04 1.372752503999999929e+00
1.640625000000000000e-01 1.142666664999999921e+04 1.374771489000000013e+00
1.660156250000000000e-01 1.141176857999999993e+04 1.376796173000000012e+00
1.679687500000000000e-01 1.139685874999999942e+04 1.378826711000000094e+00
1.699218750000000000e-01 1.138193405999999959e+04 1.380863248999999904e+00
1.718750000000000000e-01 1.136699279000000024e+04 1.382905916999999985e+00
1.738281250000000000e-01 1.135203260000000046e+04 1.384954887999999995e+00
1.757812500000000000e-01 1.133705025000000023e+04 1.387010384999999957e+00
1.777343750000000000e-01 1.132204318000000058e+04 1.389072619000000008e+00
1.796875000000000000e-01 1.130700957999999991e+04 1.391141782999999910e+00
1.816406250000000000e-01 1.129194724999999926e+04 1.393218043999999933e+00
1.835937500000000000e-01 1.127685363999999936e+04 1.395301544000000060e+00
1.855468750000000000e-01 1.126172652999999991e+04 1.397392417999999914e+00
1.875000000000000000e-01 1.124656403999999930e+04 1.399490797999999980e+00
1.894531250000000000e-01 1.123136422999999922e+04 1.401596819999999965e+00
1.914062500000000000e-01 1.121612507000000005e+04 1.403710626000000072e+00
1.933593750000000000e-01 1.120084461000000010e+04 1.405832355999999894e+00
1.953125000000000000e-01 1.118552099000000089e+04 1.407962144999999943e+00
1.972656250000000000e-01 1.117015245999999934e+04 1.410100114000000016e+00
1.992187500000000000e-01 1.115473744000000079e+04 1.412246364000000032e+00
2.011718750000000000e-01 1.113927426000000014e+04 1.414401041999999942e+00
2.031250000000000000e-01 1.112376110999999946e+04 1.416564356999999941e+00
2.050781250000000000e-01 1.110819640000000072e+04 1.418736505000000037e+00
2.070312500000000000e-01 1.109257877999999982e+04 1.420917656999999945e+00
2.089843750000000000e-01 1.107690689999999995e+04 1.423107970000000000e+00
2.109375000000000000e-01 1.106117929999999978e+04 1.425307582999999934e+00
2.128906250000000000e-01 1.104539445999999953e+04 1.427516629999999953e+00
2.148437500000000000e-01 1.102955081000000064e+04 1.429735248999999930e+00
2.167968750000000000e-01 1.101364687000000049e+04 1.431963574000000072e+00
2.187500000000000000e-01 1.099768173999999999e+04 1.434201714999999933e+00
2.207031250000000000e-01 1.098165459000000010e+04 1.436449776999999983e+00
2.226562500000000000e-01 1.096556389999999919e+04 1.438707866999999974e+00
2.246093750000000000e-01 1.094940792999999940e+04 1.440976095999999984e+00
2.265625000000000000e-01 1.093318569000000025e+04 1.443254599999999943e+00
2.285156250000000000e-01 1.091689686000000074e+04 1.445543535999999962e+00
2.304687499999999722e-01 1.090054052000000047e+04 1.447843073000000036e+00
2.324218750000000000e-01 1.088411499000000003e+04 1.450153392000000041e+00
2.343750000000000000e-01 1.086761895000000004e+04 1.452474666999999942e+00
