# rhop j_bootstrap_diag_a_per_m2
0.0000000000 1.9552209526e+02
0.0883883476 1.0951791865e+02
0.1250000000 1.8432691657e+03
0.1530931089 3.7201054673e+03
0.1767766953 5.7305821048e+03
0.1976423538 7.8586011881e+03
0.2165063509 1.0141481777e+04
0.2338535867 1.2598315619e+04
0.2500000000 1.5069549144e+04
0.2651650429 1.7595012337e+04
0.2795084972 2.0260672085e+04
0.2931509850 2.3101064432e+04
0.3061862178 2.6089029086e+04
0.3186887196 2.9247076363e+04
0.3307189139 3.2534212179e+04
0.3423265984 3.5906699403e+04
0.3535533906 3.9324095280e+04
0.3644344934 4.2830550515e+04
0.3750000000 4.6515828818e+04
0.3852758752 5.0350678421e+04
0.3952847075 5.4404780283e+04
0.4050462937 5.8690357594e+04
0.4145780988 6.3200884165e+04
0.4238956239 6.7910236382e+04
0.4330127019 7.2897526240e+04
0.4419417382 7.8198317502e+04
0.4506939094 8.3588940327e+04
0.4592793268 8.8831902004e+04
0.4677071733 9.3595932449e+04
0.4759858191 9.7771294125e+04
0.4841229183 1.0139789050e+05
0.4921254921 1.0434554423e+05
0.5000000000 1.0660329718e+05
0.5077524003 1.0806725064e+05
0.5153882032 1.0877564231e+05
0.5229125166 1.0875225373e+05
0.5303300859 1.0773661844e+05
0.5376453292 1.0585284343e+05
0.5448623679 1.0319899256e+05
0.5519850541 9.9158741813e+04
0.5590169944 9.3802812218e+04
0.5659615711 8.7404577254e+04
0.5728219619 8.0506699118e+04
0.5796011560 7.3055376120e+04
0.5863019700 6.5181033231e+04
0.5929270613 5.6805889531e+04
0.5994789404 4.8073757247e+04
0.6059599822 3.9927295481e+04
0.6123724357 3.3423133431e+04
0.6187184335 2.9188151667e+04
0.6250000000 2.6944428347e+04
0.6312190586 2.5759222844e+04
0.6373774392 2.5727897233e+04
0.6434768838 2.7167712622e+04
0.6495190528 3.0299525157e+04
0.6555055301 3.4875947504e+04
0.6614378278 3.9921570020e+04
0.6673173908 4.4999531159e+04
0.6731456009 5.0247611778e+04
0.6789237807 5.5645874291e+04
0.6846531969 6.1140263915e+04
0.6903350636 6.6740520372e+04
0.6959705454 7.2328313372e+04
0.7015607600 7.7444146377e+04
0.7071067812 8.1803960208e+04
0.7126096407 8.5619705319e+04
0.7180703308 8.9303791142e+04
0.7234898064 9.2829884674e+04
0.7288689869 9.6013402669e+04
0.7342087578 9.8928040478e+04
0.7395099729 1.0161763233e+05
0.7447734555 1.0406241606e+05
0.7500000000 1.0639763017e+05
0.7551903733 1.0852529308e+05
0.7603453163 1.1033514340e+05
0.7654655446 1.1196590481e+05
0.7705517504 1.1341618361e+05
0.7756046029 1.1467338238e+05
0.7806247498 1.1574553304e+05
0.7856128181 1.1663826572e+05
0.7905694150 1.1730427557e+05
0.7954951288 1.1784077267e+05
0.8003905297 1.1812177137e+05
0.8052561704 1.1803959173e+05
0.8100925873 1.1773623976e+05
0.8149003007 1.1718551753e+05
0.8196798155 1.1635504981e+05
0.8244316224 1.1524734491e+05
0.8291561976 1.1383596342e+05
0.8338540040 1.1209839996e+05
0.8385254916 1.1007031152e+05
0.8431710977 1.0791965117e+05
0.8477912479 1.0573855072e+05
0.8523863561 1.0351711787e+05
0.8569568251 1.0126375993e+05
0.8615030470 9.8980754390e+04
0.8660254038 9.6647176592e+04
0.8705242673 9.4247911378e+04
0.8750000000 9.1750822723e+04
0.8794529550 8.9130475413e+04
0.8838834765 8.6371072283e+04
0.8882919002 8.3452374146e+04
0.8926785536 8.0403953636e+04
0.8970437559 7.7256920842e+04
0.9013878189 7.4031925083e+04
0.9057110466 7.0757700565e+04
0.9100137362 6.7459494705e+04
0.9142961774 6.4164228197e+04
0.9185586535 6.0884688670e+04
0.9228014413 5.7729978896e+04
0.9270248109 5.4746840040e+04
0.9312290266 5.1800351032e+04
0.9354143467 4.9528523467e+04
0.9395810236 4.8622352120e+04
0.9437293044 4.9285187311e+04
0.9478594305 5.2303131447e+04
0.9519716382 5.8493602724e+04
0.9560661588 6.9121299116e+04
0.9601432185 8.6157809444e+04
0.9642030388 1.1233097481e+05
0.9682458366 1.5301581826e+05
0.9722718241 2.0709957096e+05
0.9762812095 2.5265973294e+05
0.9802741963 2.6424979548e+05
0.9842509843 2.2859501184e+05
0.9882117688 1.5866561016e+05
0.9921567416 8.5279543632e+04
0.9960860907 3.6811173885e+04
1.0000000000 1.3222104072e+04
