# rhop Istar_total_input
0.0000000000 1.5982269865e+00
0.0045454545 1.5958407254e+00
0.0090909091 1.5957165170e+00
0.0136363636 1.5955050741e+00
0.0181818182 1.5952077654e+00
0.0227272727 1.5948259663e+00
0.0272727273 1.5943608735e+00
0.0318181818 1.5938140039e+00
0.0363636364 1.5931869594e+00
0.0409090909 1.5924810413e+00
0.0454545455 1.5916980563e+00
0.0500000000 1.5908394335e+00
0.0545454545 1.5899070349e+00
0.0590909091 1.5889023073e+00
0.0636363636 1.5878272025e+00
0.0681818182 1.5866832791e+00
0.0727272727 1.5854724111e+00
0.0772727273 1.5841964054e+00
0.0818181818 1.5828443817e+00
0.0863636364 1.5814325080e+00
0.0909090909 1.5799628743e+00
0.0954545455 1.5784371905e+00
0.1000000000 1.5768380769e+00
0.1045454545 1.5751853696e+00
0.1090909091 1.5734810566e+00
0.1136363636 1.5717268313e+00
0.1181818182 1.5699242931e+00
0.1227272727 1.5680754705e+00
0.1272727273 1.5661769639e+00
0.1318181818 1.5642309679e+00
0.1363636364 1.5622442458e+00
0.1409090909 1.5602190121e+00
0.1454545455 1.5581572086e+00
0.1500000000 1.5560606865e+00
0.1545454545 1.5539296832e+00
0.1590909091 1.5517639220e+00
0.1636363636 1.5495689930e+00
0.1681818182 1.5473465599e+00
0.1727272727 1.5450981030e+00
0.1772727273 1.5428247584e+00
0.1818181818 1.5405248720e+00
0.1863636364 1.5382034714e+00
0.1909090909 1.5358617414e+00
0.1954545454 1.5335009836e+00
0.2000000000 1.5311207006e+00
0.2045454546 1.5287221948e+00
0.2090909091 1.5263078330e+00
0.2136363636 1.5238786204e+00
0.2181818182 1.5214343515e+00
0.2227272727 1.5189748306e+00
0.2272727273 1.5165026923e+00
0.2318181818 1.5140185536e+00
0.2363636364 1.5115211540e+00
0.2409090909 1.5090113270e+00
0.2454545455 1.5064907667e+00
0.2500000000 1.5039595048e+00
0.2545454545 1.5014147566e+00
0.2590909091 1.4988597565e+00
0.2636363636 1.4962945459e+00
0.2681818182 1.4937167257e+00
0.2727272727 1.4911274298e+00
0.2772727273 1.4885275340e+00
0.2818181818 1.4859149553e+00
0.2863636364 1.4832894886e+00
0.2909090909 1.4806525482e+00
0.2954545454 1.4780016493e+00
0.3000000000 1.4753364839e+00
0.3045454545 1.4726584788e+00
0.3090909091 1.4699643248e+00
0.3136363636 1.4672546749e+00
0.3181818182 1.4645302228e+00
0.3227272727 1.4617865499e+00
0.3272727273 1.4590260993e+00
0.3318181818 1.4562476365e+00
0.3363636364 1.4534480410e+00
0.3409090909 1.4506298746e+00
0.3454545454 1.4477890837e+00
0.3500000000 1.4449266118e+00
0.3545454546 1.4420417967e+00
0.3590909091 1.4391311516e+00
0.3636363636 1.4361973688e+00
0.3681818182 1.4332356256e+00
0.3727272727 1.4302478871e+00
0.3772727273 1.4272317357e+00
0.3818181818 1.4241862114e+00
0.3863636364 1.4211113898e+00
0.3909090909 1.4180037461e+00
0.3954545454 1.4148658763e+00
0.4000000000 1.4116919967e+00
0.4045454546 1.4084859610e+00
0.4090909091 1.4052421771e+00
0.4136363636 1.4019636565e+00
0.4181818182 1.3986457344e+00
0.4227272727 1.3952903568e+00
0.4272727273 1.3918938733e+00
0.4318181818 1.3884575355e+00
0.4363636364 1.3849779657e+00
0.4409090909 1.3814563819e+00
0.4454545455 1.3778890313e+00
0.4500000000 1.3742777233e+00
0.4545454546 1.3706182139e+00
0.4590909091 1.3669130040e+00
0.4636363636 1.3631567320e+00
0.4681818182 1.3593525563e+00
0.4727272727 1.3554953460e+00
0.4772727273 1.3515872812e+00
0.4818181818 1.3476250649e+00
0.4863636364 1.3436086420e+00
0.4909090909 1.3395368793e+00
0.4954545455 1.3354074104e+00
0.5000000000 1.3312215755e+00
0.5045454545 1.3269735797e+00
0.5090909091 1.3226667451e+00
0.5136363636 1.3182975818e+00
0.5181818182 1.3138652431e+00
0.5227272727 1.3093698173e+00
0.5272727273 1.3048063406e+00
0.5318181818 1.3001771043e+00
0.5363636364 1.2954791908e+00
0.5409090909 1.2907108787e+00
0.5454545455 1.2858725203e+00
0.5500000000 1.2809597660e+00
0.5545454546 1.2759732859e+00
0.5590909091 1.2709121363e+00
0.5636363636 1.2657709304e+00
0.5681818182 1.2605519041e+00
0.5727272727 1.2552530988e+00
0.5772727273 1.2498691679e+00
0.5818181818 1.2444021340e+00
0.5863636364 1.2388499816e+00
0.5909090909 1.2332069261e+00
0.5954545454 1.2274747063e+00
0.6000000000 1.2216512718e+00
0.6045454545 1.2157316495e+00
0.6090909091 1.2097155422e+00
0.6136363636 1.2036012439e+00
0.6181818182 1.1973855083e+00
0.6227272727 1.1910642499e+00
0.6272727273 1.1846373330e+00
0.6318181818 1.1781019390e+00
0.6363636364 1.1714530636e+00
0.6409090909 1.1646887701e+00
0.6454545455 1.1578071213e+00
0.6500000000 1.1508048178e+00
0.6545454546 1.1436762196e+00
0.6590909091 1.1364191557e+00
0.6636363636 1.1290307576e+00
0.6681818182 1.1215073205e+00
0.6727272727 1.1138437954e+00
0.6772727273 1.1060320105e+00
0.6818181818 1.0980793406e+00
0.6863636364 1.0899812257e+00
0.6909090909 1.0817332958e+00
0.6954545454 1.0733308009e+00
0.7000000000 1.0647687060e+00
0.7045454545 1.0560418811e+00
0.7090909091 1.0471450062e+00
0.7136363636 1.0380723814e+00
0.7181818182 1.0286784731e+00
0.7227272727 1.0190875704e+00
0.7272727273 1.0092977944e+00
0.7318181818 9.9930265899e-01
0.7363636364 9.8909489259e-01
0.7409090909 9.7866680155e-01
0.7454545455 9.6801251547e-01
0.7500000000 9.5713057696e-01
0.7545454545 9.4602180443e-01
0.7590909091 9.3469065534e-01
0.7636363636 9.2315151760e-01
0.7681818182 9.1139465886e-01
0.7727272727 8.9941898663e-01
0.7772727273 8.8722294289e-01
0.7818181818 8.7480450415e-01
0.7863636364 8.6216124792e-01
0.7909090909 8.4929044768e-01
0.7954545455 8.3618915845e-01
0.8000000000 8.2276881004e-01
0.8045454546 8.0909950607e-01
0.8090909091 7.9517810299e-01
0.8136363636 7.8100172314e-01
0.8181818182 7.6656798333e-01
0.8227272727 7.5187524298e-01
0.8272727273 7.3692301850e-01
0.8318181818 7.2171219720e-01
0.8363636364 7.0624554919e-01
0.8409090909 6.9052844718e-01
0.8454545454 6.7456942734e-01
0.8500000000 6.5838098741e-01
0.8545454545 6.4198076945e-01
0.8590909091 6.2539295762e-01
0.8636363636 6.0864942251e-01
0.8681818182 5.9179203680e-01
0.8727272727 5.7487508009e-01
0.8772727273 5.5796755141e-01
0.8818181818 5.4115716935e-01
0.8863636364 5.2455457913e-01
0.8909090909 5.0829774454e-01
0.8954545455 4.9255922814e-01
0.9000000000 4.7755214202e-01
0.9045454546 4.6354112635e-01
0.9090909091 4.5084955887e-01
0.9136363636 4.3989168589e-01
0.9181818182 4.3127631109e-01
0.9227272727 4.2500069129e-01
0.9272727273 4.2125941499e-01
0.9318181818 4.2012978369e-01
0.9363636364 4.2189726326e-01
0.9409090909 4.2611828499e-01
0.9454545454 4.3237778373e-01
0.9500000000 4.3986024467e-01
0.9545454545 4.4797150881e-01
0.9590909091 4.5451588625e-01
0.9636363636 4.9181077678e-01
0.9681818182 6.3926184816e-01
0.9727272727 8.4466717334e-01
0.9772727273 9.8160603416e-01
0.9818181818 9.7136337958e-01
0.9863636364 7.7701529305e-01
0.9909090909 4.5103061124e-01
0.9954545455 2.5539513584e-01
1.0000000000 1.2590759843e-01
