# rhop q
0.0000000000 1.2000000000e+00
0.0883883476 1.2105196517e+00
0.1250000000 1.2202173080e+00
0.1530931089 1.2295684747e+00
0.1767766953 1.2386051952e+00
0.1976423538 1.2473777136e+00
0.2165063509 1.2559180029e+00
0.2338535867 1.2642641685e+00
0.2500000000 1.2724439760e+00
0.2651650429 1.2804991644e+00
0.2795084972 1.2884456585e+00
0.2931509850 1.2963115218e+00
0.3061862178 1.3041176489e+00
0.3186887196 1.3118846249e+00
0.3307189139 1.3196363669e+00
0.3423265984 1.3273851974e+00
0.3535533906 1.3351477809e+00
0.3644344934 1.3429395838e+00
0.3750000000 1.3507783207e+00
0.3852758752 1.3586694618e+00
0.3952847075 1.3666261790e+00
0.4050462937 1.3746703783e+00
0.4145780988 1.3828062629e+00
0.4238956239 1.3910425094e+00
0.4330127019 1.3993910481e+00
0.4419417382 1.4078611002e+00
0.4506939094 1.4164608095e+00
0.4592793268 1.4251993091e+00
0.4677071733 1.4340950154e+00
0.4759858191 1.4431525363e+00
0.4841229183 1.4523747038e+00
0.4921254921 1.4617689583e+00
0.5000000000 1.4713405006e+00
0.5077524003 1.4811295888e+00
0.5153882032 1.4911121476e+00
0.5229125166 1.5012922130e+00
0.5303300859 1.5117196623e+00
0.5376453292 1.5223644769e+00
0.5448623679 1.5332440841e+00
0.5519850541 1.5443924137e+00
0.5590169944 1.5557704127e+00
0.5659615711 1.5674601085e+00
0.5728219619 1.5793888165e+00
0.5796011560 1.5916546039e+00
0.5863019700 1.6041765840e+00
0.5929270613 1.6170647362e+00
0.5994789404 1.6302392361e+00
0.6059599822 1.6437863634e+00
0.6123724357 1.6576730721e+00
0.6187184335 1.6719178095e+00
0.6250000000 1.6865789179e+00
0.6312190586 1.7015964110e+00
0.6373774392 1.7170555688e+00
0.6434768838 1.7329469628e+00
0.6495190528 1.7492500591e+00
0.6555055301 1.7660647610e+00
0.6614378278 1.7833764254e+00
0.6673173908 1.8011674370e+00
0.6731456009 1.8194939657e+00
0.6789237807 1.8384124107e+00
0.6846531969 1.8578415132e+00
0.6903350636 1.8777586186e+00
0.6959705454 1.8981647129e+00
0.7015607600 1.9190725187e+00
0.7071067812 1.9405710408e+00
0.7126096407 1.9627880457e+00
0.7180703308 1.9857950401e+00
0.7234898064 2.0097830673e+00
0.7288689869 2.0347008915e+00
0.7342087578 2.0605674913e+00
0.7395099729 2.0874159209e+00
0.7447734555 2.1152849124e+00
0.7500000000 2.1442200687e+00
0.7551903733 2.1744223274e+00
0.7603453163 2.2057913751e+00
0.7654655446 2.2383724639e+00
0.7705517504 2.2721995278e+00
0.7756046029 2.3072714213e+00
0.7806247498 2.3435775546e+00
0.7856128181 2.3811638666e+00
0.7905694150 2.4201530941e+00
0.7954951288 2.4607023757e+00
0.8003905297 2.5030578670e+00
0.8052561704 2.5472315270e+00
0.8100925873 2.5933404265e+00
0.8149003007 2.6414994943e+00
0.8196798155 2.6918301403e+00
0.8244316224 2.7444703799e+00
0.8291561976 2.7995748088e+00
0.8338540040 2.8573161460e+00
0.8385254916 2.9178830060e+00
0.8431710977 2.9814773549e+00
0.8477912479 3.0483169892e+00
0.8523863561 3.1186411798e+00
0.8569568251 3.1927104032e+00
0.8615030470 3.2708086608e+00
0.8660254038 3.3532486047e+00
0.8705242673 3.4403705828e+00
0.8750000000 3.5325455114e+00
0.8794529550 3.6301792647e+00
0.8838834765 3.7337125081e+00
0.8882919002 3.8436263227e+00
0.8926785536 3.9604416952e+00
0.8970437559 4.0847190199e+00
0.9013878189 4.2170654680e+00
0.9057110466 4.3581247755e+00
0.9100137362 4.5085778417e+00
0.9142961774 4.6691654191e+00
0.9185586535 4.8406711092e+00
0.9228014413 5.0240032744e+00
0.9270248109 5.2211730846e+00
0.9312290266 5.4330650943e+00
0.9354143467 5.6609497900e+00
0.9395810236 5.9066488790e+00
0.9437293044 6.1724398004e+00
0.9478594305 6.4611937907e+00
0.9519716382 6.7765155252e+00
0.9560661588 7.1232503071e+00
0.9601432185 7.5065540206e+00
0.9642030388 7.9265113754e+00
0.9682458366 8.3663358212e+00
0.9722718241 8.7841295788e+00
0.9762812095 9.1753970739e+00
0.9802741963 9.5805919800e+00
0.9842509843 1.0058132123e+01
0.9882117688 1.0686960201e+01
0.9921567416 1.1560160922e+01
0.9960860907 1.2847302422e+01
1.0000000000 1.4942184129e+01
