   FROM CHEASE,SI UNITS,COCOS=2, IP,B0>020260530   3 513 513
 1.356583912E+00 2.546595613E+00 8.500000000E-01 1.498575148E-01-7.966465672E-03
 9.461567044E-01-7.966465672E-03-6.860460822E-02 0.000000000E+00 4.755093800E-01
 7.431730382E+05-6.860460822E-02 0.000000000E+00 9.461567044E-01 0.000000000E+00
-7.966465672E-03 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 4.529508124E-01 4.528042563E-01 4.526569100E-01 4.525092469E-01 4.523614185E-01
 4.522124461E-01 4.520614698E-01 4.519086968E-01 4.517542900E-01 4.515982495E-01
 4.514405610E-01 4.512813266E-01 4.511206317E-01 4.509585257E-01 4.507950470E-01
 4.506302564E-01 4.504642055E-01 4.502969564E-01 4.501285673E-01 4.499590742E-01
 4.497885148E-01 4.496169518E-01 4.494444443E-01 4.492710198E-01 4.490967049E-01
 4.489215586E-01 4.487456408E-01 4.485689701E-01 4.483915683E-01 4.482134906E-01
 4.480347908E-01 4.478554860E-01 4.476755819E-01 4.474951383E-01 4.473142157E-01
 4.471328140E-01 4.469509482E-01 4.467686673E-01 4.465860137E-01 4.464029964E-01
 4.462196305E-01 4.460359556E-01 4.458520087E-01 4.456678020E-01 4.454833467E-01
 4.452986778E-01 4.451138287E-01 4.449288082E-01 4.447436286E-01 4.445583202E-01
 4.443729163E-01 4.441874165E-01 4.440018341E-01 4.438161979E-01 4.436305399E-01
 4.434448655E-01 4.432591755E-01 4.430734999E-01 4.428878594E-01 4.427022647E-01
 4.425167233E-01 4.423312532E-01 4.421458793E-01 4.419606045E-01 4.417754345E-01
 4.415903916E-01 4.414054903E-01 4.412207391E-01 4.410361466E-01 4.408517253E-01
 4.406674933E-01 4.404834588E-01 4.402996240E-01 4.401160036E-01 4.399326121E-01
 4.397494530E-01 4.395665335E-01 4.393838674E-01 4.392014635E-01 4.390193268E-01
 4.388374656E-01 4.386558897E-01 4.384746083E-01 4.382936291E-01 4.381129576E-01
 4.379326000E-01 4.377525655E-01 4.375728616E-01 4.373934927E-01 4.372144644E-01
 4.370357847E-01 4.368574600E-01 4.366794948E-01 4.365018944E-01 4.363246655E-01
 4.361478134E-01 4.359713430E-01 4.357952592E-01 4.356195671E-01 4.354442717E-01
 4.352693779E-01 4.350948900E-01 4.349208123E-01 4.347471491E-01 4.345739050E-01
 4.344010843E-01 4.342286906E-01 4.340567275E-01 4.338851989E-01 4.337141088E-01
 4.335434614E-01 4.333732607E-01 4.332035093E-01 4.330342095E-01 4.328653656E-01
 4.326969820E-01 4.325290617E-01 4.323616058E-01 4.321946170E-01 4.320280999E-01
 4.318620580E-01 4.316964927E-01 4.315314054E-01 4.313667995E-01 4.312026789E-01
 4.310390460E-01 4.308759020E-01 4.307132485E-01 4.305510885E-01 4.303894246E-01
 4.302282601E-01 4.300675978E-01 4.299074393E-01 4.297477849E-01 4.295886364E-01
 4.294299971E-01 4.292718699E-01 4.291142560E-01 4.289571558E-01 4.288005709E-01
 4.286445037E-01 4.284889566E-01 4.283339317E-01 4.281794312E-01 4.280254561E-01
 4.278720070E-01 4.277190850E-01 4.275666924E-01 4.274148316E-01 4.272635039E-01
 4.271127102E-01 4.269624514E-01 4.268127289E-01 4.266635439E-01 4.265148984E-01
 4.263667942E-01 4.262192330E-01 4.260722151E-01 4.259257410E-01 4.257798116E-01
 4.256344285E-01 4.254895933E-01 4.253453075E-01 4.252015728E-01 4.250583902E-01
 4.249157599E-01 4.247736821E-01 4.246321580E-01 4.244911889E-01 4.243507762E-01
 4.242109213E-01 4.240716255E-01 4.239328896E-01 4.237947137E-01 4.236570983E-01
 4.235200440E-01 4.233835523E-01 4.232476241E-01 4.231122608E-01 4.229774633E-01
 4.228432325E-01 4.227095688E-01 4.225764724E-01 4.224439439E-01 4.223119843E-01
 4.221805945E-01 4.220497752E-01 4.219195275E-01 4.217898521E-01 4.216607497E-01
 4.215322206E-01 4.214042655E-01 4.212768848E-01 4.211500790E-01 4.210238488E-01
 4.208981949E-01 4.207731181E-01 4.206486189E-01 4.205246980E-01 4.204013561E-01
 4.202785935E-01 4.201564106E-01 4.200348077E-01 4.199137852E-01 4.197933438E-01
 4.196734839E-01 4.195542060E-01 4.194355106E-01 4.193173984E-01 4.191998695E-01
 4.190829245E-01 4.189665637E-01 4.188507873E-01 4.187355956E-01 4.186209890E-01
 4.185069677E-01 4.183935321E-01 4.182806826E-01 4.181684195E-01 4.180567430E-01
 4.179456534E-01 4.178351510E-01 4.177252363E-01 4.176159097E-01 4.175071709E-01
 4.173990195E-01 4.172914549E-01 4.171844782E-01 4.170780917E-01 4.169722975E-01
 4.168670942E-01 4.167624755E-01 4.166584349E-01 4.165549747E-01 4.164521118E-01
 4.163498643E-01 4.162482343E-01 4.161471827E-01 4.160466642E-01 4.159466435E-01
 4.158471247E-01 4.157481224E-01 4.156496152E-01 4.155513192E-01 4.154528364E-01
 4.153537801E-01 4.152538714E-01 4.151529156E-01 4.150507280E-01 4.149473976E-01
 4.148433948E-01 4.147392134E-01 4.146352970E-01 4.145319604E-01 4.144294933E-01
 4.143281553E-01 4.142280343E-01 4.141291527E-01 4.140315301E-01 4.139351520E-01
 4.138399752E-01 4.137459562E-01 4.136530670E-01 4.135613091E-01 4.134706873E-01
 4.133812033E-01 4.132928428E-01 4.132055869E-01 4.131194168E-01 4.130343157E-01
 4.129502687E-01 4.128672609E-01 4.127852775E-01 4.127043039E-01 4.126243252E-01
 4.125453273E-01 4.124672965E-01 4.123902201E-01 4.123140851E-01 4.122388788E-01
 4.121645877E-01 4.120911990E-01 4.120187000E-01 4.119470802E-01 4.118763296E-01
 4.118064385E-01 4.117373962E-01 4.116691908E-01 4.116018105E-01 4.115352435E-01
 4.114694759E-01 4.114044939E-01 4.113402834E-01 4.112768283E-01 4.112141105E-01
 4.111521117E-01 4.110908169E-01 4.110302236E-01 4.109703328E-01 4.109111449E-01
 4.108526458E-01 4.107948042E-01 4.107375882E-01 4.106809550E-01 4.106247952E-01
 4.105689761E-01 4.105133661E-01 4.104578311E-01 4.104022310E-01 4.103464265E-01
 4.102902896E-01 4.102338044E-01 4.101770256E-01 4.101200083E-01 4.100628294E-01
 4.100056427E-01 4.099486175E-01 4.098919198E-01 4.098356588E-01 4.097798697E-01
 4.097245823E-01 4.096698231E-01 4.096155892E-01 4.095618615E-01 4.095086208E-01
 4.094558529E-01 4.094035603E-01 4.093517494E-01 4.093004261E-01 4.092495928E-01
 4.091992456E-01 4.091493798E-01 4.090999913E-01 4.090510776E-01 4.090026378E-01
 4.089546712E-01 4.089071766E-01 4.088601523E-01 4.088135960E-01 4.087675054E-01
 4.087218783E-01 4.086767126E-01 4.086320064E-01 4.085877574E-01 4.085439637E-01
 4.085006228E-01 4.084577323E-01 4.084152898E-01 4.083732928E-01 4.083317387E-01
 4.082906250E-01 4.082499488E-01 4.082097075E-01 4.081698982E-01 4.081305178E-01
 4.080915634E-01 4.080530318E-01 4.080149198E-01 4.079772241E-01 4.079399413E-01
 4.079030679E-01 4.078666001E-01 4.078305343E-01 4.077948668E-01 4.077595933E-01
 4.077247099E-01 4.076902123E-01 4.076560963E-01 4.076223574E-01 4.075889907E-01
 4.075559917E-01 4.075233555E-01 4.074910770E-01 4.074591508E-01 4.074275716E-01
 4.073963341E-01 4.073654323E-01 4.073348603E-01 4.073046120E-01 4.072746814E-01
 4.072450617E-01 4.072157462E-01 4.071867281E-01 4.071580005E-01 4.071295558E-01
 4.071013864E-01 4.070734845E-01 4.070458424E-01 4.070184515E-01 4.069913030E-01
 4.069643884E-01 4.069376987E-01 4.069112242E-01 4.068849551E-01 4.068588815E-01
 4.068329935E-01 4.068072801E-01 4.067817300E-01 4.067563321E-01 4.067310752E-01
 4.067059467E-01 4.066809341E-01 4.066560246E-01 4.066312054E-01 4.066064627E-01
 4.065817820E-01 4.065571487E-01 4.065325485E-01 4.065079659E-01 4.064833842E-01
 4.064587870E-01 4.064341582E-01 4.064094800E-01 4.063847339E-01 4.063599012E-01
 4.063349632E-01 4.063099004E-01 4.062846917E-01 4.062593157E-01 4.062337513E-01
 4.062079773E-01 4.061819730E-01 4.061557175E-01 4.061291903E-01 4.061023710E-01
 4.060752416E-01 4.060477846E-01 4.060199829E-01 4.059918195E-01 4.059632824E-01
 4.059343624E-01 4.059050509E-01 4.058753391E-01 4.058452227E-01 4.058147033E-01
 4.057837830E-01 4.057524639E-01 4.057207502E-01 4.056886528E-01 4.056561837E-01
 4.056233551E-01 4.055901792E-01 4.055566734E-01 4.055228566E-01 4.054887480E-01
 4.054543666E-01 4.054197358E-01 4.053848836E-01 4.053498383E-01 4.053146278E-01
 4.052792825E-01 4.052438399E-01 4.052083385E-01 4.051728167E-01 4.051373135E-01
 4.051018760E-01 4.050665554E-01 4.050314030E-01 4.049964694E-01 4.049618083E-01
 4.049274782E-01 4.048935375E-01 4.048600443E-01 4.048270584E-01 4.047946497E-01
 4.047628910E-01 4.047318547E-01 4.047016135E-01 4.046722619E-01 4.046439161E-01
 4.046166930E-01 4.045907085E-01 4.045660082E-01 4.045423857E-01 4.045195795E-01
 4.044973294E-01 4.044753765E-01 4.044534494E-01 4.044312670E-01 4.044085495E-01
 4.043850187E-01 4.043605242E-01 4.043353320E-01 4.043097924E-01 4.042842533E-01
 4.042590627E-01 4.042346096E-01 4.042113178E-01 4.041896104E-01 4.041699074E-01
 4.041525365E-01 4.041374716E-01 4.041246018E-01 4.041138164E-01 4.041050089E-01
 4.040981665E-01 4.040933835E-01 4.040907593E-01 4.040903925E-01 4.040923277E-01
 4.040962895E-01 4.041018865E-01 4.041087295E-01 4.041164321E-01 4.041246650E-01
 4.041332029E-01 4.041418326E-01 4.041503422E-01 4.041585190E-01 4.041661249E-01
 4.041729048E-01 4.041786050E-01 4.041829730E-01
 1.327980286E+04 1.323851195E+04 1.319778779E+04 1.315743196E+04 1.311737742E+04
 1.307801415E+04 1.303968580E+04 1.300230440E+04 1.296579969E+04 1.293016807E+04
 1.289541201E+04 1.286148649E+04 1.282835325E+04 1.279598912E+04 1.276437546E+04
 1.273348440E+04 1.270329200E+04 1.267377027E+04 1.264489285E+04 1.261664250E+04
 1.258900124E+04 1.256194124E+04 1.253543607E+04 1.250947230E+04 1.248403689E+04
 1.245910375E+04 1.243464650E+04 1.241065556E+04 1.238712024E+04 1.236401625E+04
 1.234131992E+04 1.231902267E+04 1.229712055E+04 1.227558764E+04 1.225439782E+04
 1.223354970E+04 1.221303586E+04 1.219283497E+04 1.217292851E+04 1.215331156E+04
 1.213397686E+04 1.211490718E+04 1.209608628E+04 1.207750825E+04 1.205916754E+04
 1.204104893E+04 1.202313785E+04 1.200542997E+04 1.198791941E+04 1.197059301E+04
 1.195343643E+04 1.193644914E+04 1.191962513E+04 1.190295193E+04 1.188641580E+04
 1.187001406E+04 1.185374580E+04 1.183759831E+04 1.182156252E+04 1.180563364E+04
 1.178980824E+04 1.177407847E+04 1.175843378E+04 1.174287262E+04 1.172739234E+04
 1.171198348E+04 1.169663978E+04 1.168135754E+04 1.166613297E+04 1.165096067E+04
 1.163583299E+04 1.162074641E+04 1.160569982E+04 1.159068709E+04 1.157570206E+04
 1.156074311E+04 1.154580728E+04 1.153088875E+04 1.151598376E+04 1.150109026E+04
 1.148620473E+04 1.147132308E+04 1.145644152E+04 1.144155678E+04 1.142666665E+04
 1.141176858E+04 1.139685875E+04 1.138193406E+04 1.136699279E+04 1.135203260E+04
 1.133705025E+04 1.132204318E+04 1.130700958E+04 1.129194725E+04 1.127685364E+04
 1.126172653E+04 1.124656404E+04 1.123136423E+04 1.121612507E+04 1.120084461E+04
 1.118552099E+04 1.117015246E+04 1.115473744E+04 1.113927426E+04 1.112376111E+04
 1.110819640E+04 1.109257878E+04 1.107690690E+04 1.106117930E+04 1.104539446E+04
 1.102955081E+04 1.101364687E+04 1.099768174E+04 1.098165459E+04 1.096556390E+04
 1.094940793E+04 1.093318569E+04 1.091689686E+04 1.090054052E+04 1.088411499E+04
 1.086761895E+04 1.085105203E+04 1.083441387E+04 1.081770325E+04 1.080091873E+04
 1.078405953E+04 1.076712538E+04 1.075011576E+04 1.073302972E+04 1.071586629E+04
