# rhop Istar_total_target
0.0000000000 1.6428482299e+00
0.0045454545 1.5952560086e+00
0.0090909091 1.5946642408e+00
0.0136363636 1.5940605828e+00
0.0181818182 1.5934420088e+00
0.0227272727 1.5928056266e+00
0.0272727273 1.5921487693e+00
0.0318181818 1.5914694775e+00
0.0363636364 1.5907655885e+00
0.0409090909 1.5900346265e+00
0.0454545455 1.5892747266e+00
0.0500000000 1.5884840709e+00
0.0545454545 1.5876618976e+00
0.0590909091 1.5868067459e+00
0.0636363636 1.5859177495e+00
0.0681818182 1.5849937817e+00
0.0727272727 1.5840343213e+00
0.0772727273 1.5830394081e+00
0.0818181818 1.5817553338e+00
0.0863636364 1.5804712595e+00
0.0909090909 1.5791871852e+00
0.0954545455 1.5779031109e+00
0.1000000000 1.5762372370e+00
0.1045454545 1.5745520920e+00
0.1090909091 1.5728475327e+00
0.1136363636 1.5711232259e+00
0.1181818182 1.5693788614e+00
0.1227272727 1.5676151108e+00
0.1272727273 1.5657354774e+00
0.1318181818 1.5637420587e+00
0.1363636364 1.5617321169e+00
0.1409090909 1.5597062427e+00
0.1454545455 1.5576652713e+00
0.1500000000 1.5556101306e+00
0.1545454545 1.5535056637e+00
0.1590909091 1.5513121393e+00
0.1636363636 1.5491071604e+00
0.1681818182 1.5468916988e+00
0.1727272727 1.5446668599e+00
0.1772727273 1.5424249681e+00
0.1818181818 1.5401044401e+00
0.1863636364 1.5377773272e+00
0.1909090909 1.5354445273e+00
0.1954545454 1.5331073726e+00
0.2000000000 1.5307331125e+00
0.2045454546 1.5283249951e+00
0.2090909091 1.5259151607e+00
0.2136363636 1.5235047071e+00
0.2181818182 1.5210724297e+00
0.2227272727 1.5186030124e+00
0.2272727273 1.5161358454e+00
0.2318181818 1.5136718730e+00
0.2363636364 1.5111782804e+00
0.2409090909 1.5086622410e+00
0.2454545455 1.5061519345e+00
0.2500000000 1.5036479968e+00
0.2545454545 1.5010871325e+00
0.2590909091 1.4985340300e+00
0.2636363636 1.4959895175e+00
0.2681818182 1.4934094139e+00
0.2727272727 1.4908163954e+00
0.2772727273 1.4882336793e+00
0.2818181818 1.4856253067e+00
0.2863636364 1.4829928719e+00
0.2909090909 1.4803722647e+00
0.2954545454 1.4777251866e+00
0.3000000000 1.4750530789e+00
0.3045454545 1.4723939764e+00
0.3090909091 1.4696968958e+00
0.3136363636 1.4669843987e+00
0.3181818182 1.4642855551e+00
0.3227272727 1.4615252974e+00
0.3272727273 1.4587695853e+00
0.3318181818 1.4560070304e+00
0.3363636364 1.4531923192e+00
0.3409090909 1.4503918928e+00
0.3454545454 1.4475436748e+00
0.3500000000 1.4446817351e+00
0.3545454546 1.4418137338e+00
0.3590909091 1.4388870315e+00
0.3636363636 1.4359744752e+00
0.3681818182 1.4329967121e+00
0.3727272727 1.4300158422e+00
0.3772727273 1.4270006132e+00
0.3818181818 1.4239508277e+00
0.3863636364 1.4208907966e+00
0.3909090909 1.4177690226e+00
0.3954545454 1.4146564257e+00
0.4000000000 1.4114582344e+00
0.4045454546 1.4082724202e+00
0.4090909091 1.4050080427e+00
0.4136363636 1.4017443298e+00
0.4181818182 1.3984107886e+00
0.4227272727 1.3950672359e+00
0.4272727273 1.3916577658e+00
0.4318181818 1.3882321100e+00
0.4363636364 1.3847398139e+00
0.4409090909 1.3812299373e+00
0.4454545455 1.3776483267e+00
0.4500000000 1.3740520665e+00
0.4545454546 1.3703752788e+00
0.4590909091 1.3666907807e+00
0.4636363636 1.3629103403e+00
0.4681818182 1.3591218267e+00
0.4727272727 1.3552435208e+00
0.4772727273 1.3513418237e+00
0.4818181818 1.3473697975e+00
0.4863636364 1.3433510396e+00
0.4909090909 1.3392837854e+00
0.4954545455 1.3351435088e+00
0.5000000000 1.3309798103e+00
0.5045454545 1.3267033937e+00
0.5090909091 1.3223997019e+00
0.5136363636 1.3180236367e+00
0.5181818182 1.3135848625e+00
0.5227272727 1.3091079454e+00
0.5272727273 1.3045183125e+00
0.5318181818 1.2998902856e+00
0.5363636364 1.2951902160e+00
0.5409090909 1.2904102737e+00
0.5454545455 1.2855841067e+00
0.5500000000 1.2806532199e+00
0.5545454546 1.2756614171e+00
0.5590909091 1.2706202261e+00
0.5636363636 1.2654504078e+00
0.5681818182 1.2602270827e+00
0.5727272727 1.2549471763e+00
0.5772727273 1.2495341574e+00
0.5818181818 1.2440626792e+00
0.5863636364 1.2385304329e+00
0.5909090909 1.2328578211e+00
0.5954545454 1.2271176261e+00
0.6000000000 1.2213068368e+00
0.6045454545 1.2153696908e+00
0.6090909091 1.2093401437e+00
0.6136363636 1.2032296771e+00
0.6181818182 1.1970189655e+00
0.6227272727 1.1906737970e+00
0.6272727273 1.1842408602e+00
0.6318181818 1.1777169790e+00
0.6363636364 1.1710552710e+00
0.6409090909 1.1642721029e+00
0.6454545455 1.1573876265e+00
0.6500000000 1.1503985558e+00
0.6545454546 1.1432547921e+00
0.6590909091 1.1359775147e+00
0.6636363636 1.1285834512e+00
0.6681818182 1.1210688098e+00
0.6727272727 1.1134086082e+00
0.6772727273 1.1055192103e+00
0.6818181818 1.0976298124e+00
0.6863636364 1.0897404145e+00
0.6909090909 1.0818510166e+00
0.6954545454 1.0739616187e+00
0.7000000000 1.0660722208e+00
0.7045454545 1.0581828229e+00
0.7090909091 1.0502934250e+00
0.7136363636 1.0424040271e+00
0.7181818182 1.0317198619e+00
0.7227272727 1.0208464084e+00
0.7272727273 1.0098714879e+00
0.7318181818 9.9879267978e-01
0.7363636364 9.8759603183e-01
0.7409090909 9.7626789101e-01
0.7454545455 9.6479819946e-01
0.7500000000 9.5317053914e-01
0.7545454545 9.4136764852e-01
0.7590909091 9.2946385670e-01
0.7636363636 9.1774464197e-01
0.7681818182 9.0602542726e-01
0.7727272727 8.9430621253e-01
0.7772727273 8.8258699783e-01
0.7818181818 8.7086778310e-01
0.7863636364 8.5914856839e-01
0.7909090909 8.4742935366e-01
0.7954545455 8.3571013896e-01
0.8000000000 8.2228146077e-01
0.8045454546 8.0860790135e-01
0.8090909091 7.9468624975e-01
0.8136363636 7.8051348278e-01
0.8181818182 7.6608696655e-01
0.8227272727 7.5140485960e-01
0.8272727273 7.3646679998e-01
0.8318181818 7.2127362396e-01
0.8363636364 7.0582791383e-01
0.8409090909 6.9013528360e-01
0.8454545454 6.7420457689e-01
0.8500000000 6.5804824829e-01
0.8545454545 6.4168416897e-01
0.8590909091 6.2513717236e-01
0.8636363636 6.0843914025e-01
0.8681818182 5.9163199594e-01
0.8727272727 5.7477058175e-01
0.8772727273 5.5792330818e-01
0.8818181818 5.4117710694e-01
0.8863636364 5.2464196269e-01
0.8909090909 5.0845306080e-01
0.8954545455 4.9277997271e-01
0.9000000000 4.7783148045e-01
0.9045454546 4.6386443695e-01
0.9090909091 4.5120255734e-01
0.9136363636 4.4024348778e-01
0.9181818182 4.3533682178e-01
0.9227272727 4.3043015577e-01
0.9272727273 4.2552348977e-01
0.9318181818 4.2061682376e-01
0.9363636364 4.2253857512e-01
0.9409090909 4.2686811972e-01
0.9454545454 4.3314469454e-01
0.9500000000 4.4072141347e-01
0.9545454545 4.4863363627e-01
0.9590909091 4.6089069492e-01
0.9636363636 5.0485896565e-01
0.9681818182 6.4586412327e-01
0.9727272727 8.4950862674e-01
0.9772727273 9.6339100311e-01
0.9818181818 8.4919622152e-01
0.9863636364 8.1003298105e-01
0.9909090909 4.4356249479e-01
0.9954545455 2.7833394675e-01
1.0000000000 1.0283453852e-01
