   FROM CHEASE,SI UNITS,COCOS=2, IP,B0>020260923   3 513 513
 1.356583514E+00 2.546648971E+00 8.500000000E-01 1.498577432E-01-8.002212534E-03
 9.454562439E-01-8.002212534E-03-6.951700016E-02 0.000000000E+00 -4.75509380E-01
 7.537761824E+05-6.951700016E-02 0.000000000E+00 9.454562439E-01 0.000000000E+00
-8.002212534E-03 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 -4.54343088E-01 -4.54203212E-01 -4.54062412E-01 -4.53921205E-01 -4.53779759E-01
 -4.53636990E-01 -4.53491945E-01 -4.53344858E-01 -4.53195910E-01 -4.53045091E-01
 -4.52892375E-01 -4.52737877E-01 -4.52581693E-01 -4.52423872E-01 -4.52264449E-01
 -4.52103494E-01 -4.51941065E-01 -4.51777226E-01 -4.51612033E-01 -4.51445530E-01
 -4.51277758E-01 -4.51108781E-01 -4.50938656E-01 -4.50767416E-01 -4.50595091E-01
 -4.50421740E-01 -4.50247425E-01 -4.50072167E-01 -4.49895992E-01 -4.49718959E-01
 -4.49541127E-01 -4.49362515E-01 -4.49183132E-01 -4.49003043E-01 -4.48822312E-01
 -4.48640942E-01 -4.48458949E-01 -4.48276386E-01 -4.48093296E-01 -4.47909690E-01
 -4.47725586E-01 -4.47541024E-01 -4.47356041E-01 -4.47170653E-01 -4.46984872E-01
 -4.46798735E-01 -4.46612276E-01 -4.46425505E-01 -4.46238437E-01 -4.46051105E-01
 -4.45863542E-01 -4.45675751E-01 -4.45487746E-01 -4.45299559E-01 -4.45111225E-01
 -4.44922750E-01 -4.44734138E-01 -4.44545421E-01 -4.44356624E-01 -4.44167759E-01
 -4.43978837E-01 -4.43789879E-01 -4.43600914E-01 -4.43411947E-01 -4.43222986E-01
 -4.43034056E-01 -4.42845176E-01 -4.42656355E-01 -4.42467603E-01 -4.42278936E-01
 -4.42090373E-01 -4.41901924E-01 -4.41713591E-01 -4.41525392E-01 -4.41337342E-01
 -4.41149446E-01 -4.40961713E-01 -4.40774156E-01 -4.40586788E-01 -4.40399614E-01
 -4.40212642E-01 -4.40025885E-01 -4.39839353E-01 -4.39653055E-01 -4.39466998E-01
 -4.39281188E-01 -4.39095636E-01 -4.38910351E-01 -4.38725338E-01 -4.38540604E-01
 -4.38356158E-01 -4.38172008E-01 -4.37988159E-01 -4.37804618E-01 -4.37621392E-01
 -4.37438490E-01 -4.37255915E-01 -4.37073676E-01 -4.36891778E-01 -4.36710227E-01
 -4.36529029E-01 -4.36348190E-01 -4.36167716E-01 -4.35987611E-01 -4.35807883E-01
 -4.35628536E-01 -4.35449576E-01 -4.35271008E-01 -4.35092837E-01 -4.34915068E-01
 -4.34737708E-01 -4.34560762E-01 -4.34384234E-01 -4.34208127E-01 -4.34032449E-01
 -4.33857206E-01 -4.33682402E-01 -4.33508039E-01 -4.33334121E-01 -4.33160655E-01
 -4.32987647E-01 -4.32815099E-01 -4.32643014E-01 -4.32471397E-01 -4.32300254E-01
 -4.32129591E-01 -4.31959409E-01 -4.31789712E-01 -4.31620504E-01 -4.31451790E-01
 -4.31283574E-01 -4.31115861E-01 -4.30948653E-01 -4.30781951E-01 -4.30615758E-01
 -4.30450077E-01 -4.30284914E-01 -4.30120269E-01 -4.29956145E-01 -4.29792543E-01
 -4.29629466E-01 -4.29466919E-01 -4.29304904E-01 -4.29143425E-01 -4.28982483E-01
 -4.28822078E-01 -4.28662213E-01 -4.28502889E-01 -4.28344111E-01 -4.28185880E-01
 -4.28028197E-01 -4.27871063E-01 -4.27714482E-01 -4.27558455E-01 -4.27402984E-01
 -4.27248074E-01 -4.27093725E-01 -4.26939939E-01 -4.26786716E-01 -4.26634057E-01
 -4.26481964E-01 -4.26330440E-01 -4.26179486E-01 -4.26029106E-01 -4.25879301E-01
 -4.25730071E-01 -4.25581418E-01 -4.25433342E-01 -4.25285847E-01 -4.25138933E-01
 -4.24992602E-01 -4.24846857E-01 -4.24701698E-01 -4.24557125E-01 -4.24413139E-01
 -4.24269740E-01 -4.24126931E-01 -4.23984713E-01 -4.23843090E-01 -4.23702061E-01
 -4.23561630E-01 -4.23421795E-01 -4.23282558E-01 -4.23143919E-01 -4.23005879E-01
 -4.22868440E-01 -4.22731602E-01 -4.22595368E-01 -4.22459738E-01 -4.22324712E-01
 -4.22190294E-01 -4.22056482E-01 -4.21923277E-01 -4.21790681E-01 -4.21658694E-01
 -4.21527316E-01 -4.21396550E-01 -4.21266395E-01 -4.21136854E-01 -4.21007926E-01
 -4.20879612E-01 -4.20751914E-01 -4.20624831E-01 -4.20498364E-01 -4.20372513E-01
 -4.20247280E-01 -4.20122665E-01 -4.19998669E-01 -4.19875292E-01 -4.19752535E-01
 -4.19630399E-01 -4.19508884E-01 -4.19387991E-01 -4.19267720E-01 -4.19148071E-01
 -4.19029045E-01 -4.18910642E-01 -4.18792863E-01 -4.18675708E-01 -4.18559177E-01
