iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,1.0,752573.4026,-1334.8993999999948,0.0017706389443632824,,,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,1.0,1.0,752385.3316,-1522.970399999991,0.002020100317186839,0.0002849182417873702,0.0003205475059834228,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.0,1.0,752195.8693,-1712.4327000000048,0.0022714071399097084,0.000370512412075362,0.0003927387084857868,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,1.0,1.0,752005.934,-1902.3680000000168,0.0025233413598886416,0.0004405539606822264,0.00045644688915563714,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,1.0,1.0,751816.2368,-2092.06520000007,0.0027749597589655805,0.0004970413455726907,0.0005099667816176622,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,1.0,1.0,751627.3345,-2280.967500000028,0.0030255237857826746,0.0005416663788434982,0.0005534650328186753,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,1.0,1.0,751439.6531,-2468.6489000000292,0.0032744683848832707,0.0005759578790513349,0.0005877327525432099,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,1.0,1.0,751253.5084,-2654.7935999999754,0.0035213746724332734,0.0006012849131958045,0.000613743143556796,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,1.0,1.0,751069.1256,-2839.1763999999966,0.003765943938365062,0.0006188707653226236,0.0006324919596521645,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,1.0,1.0,750886.6569,-3021.6451000000816,0.004007974301362822,0.0006298010035106885,0.0006449227577101412,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
10,1.0,1.0,750706.198,-3202.1040000000503,0.004247338822911716,0.0006350424066482653,0.000651907726207677,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_10/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_10/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
11,1.0,1.0,750527.8013,-3380.500699999975,0.004483967998537805,0.0006354465975924116,0.0006542340648449289,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_11/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_11/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
12,1.0,1.0,750351.4911,-3556.8109000000404,0.004717829596204712,0.0006317667963888377,0.0006526043932573058,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_12/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_12/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
13,1.0,1.0,750177.2722,-3731.0298000000184,0.004948917249090087,0.0006246662433096188,0.0006476428874673113,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_13/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_13/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
14,1.0,1.0,750005.1388,-3903.163200000068,0.0051772386504374485,0.000614725914003981,0.0006398984801758003,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_14/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_14/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
15,1.0,1.0,749835.0819,-4073.220100000035,0.005402805738037933,0.0006024549873906308,0.0006298529147563038,0.0,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_15/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_09-46-24-129015_ne_ped_scale_0.700/iteration_15/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
