iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,0.9980350818122039,747327.3743,2936.874300000025,0.0039453409198532555,,,0.0019687866925762283,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,0.9980350818122039,1.114153143018287,747362.5792,2972.0792000000365,0.0039926345110530516,0.0004047393780183251,0.0005532216091417751,0.10422091606860652,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,1.114153143018287,0.985257766061288,752436.3994,8045.899399999995,0.010808707795169329,0.0038123128228734564,0.006368858643427641,0.13082401519378736,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,0.985257766061288,0.6568385107075253,752237.4441,7846.944099999964,0.010541435039807687,0.0011640983913408563,0.0014421996993179912,0.5000000000000001,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,0.6568385107075253,0.7053052764143436,742294.2486,-2096.25139999995,0.002816064149125963,0.013180237634016538,0.015223637996010871,0.06871742964013453,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,0.7053052764143436,0.6629356317494407,733870.7336,-10519.766399999964,0.01413205353910342,0.01080253683112628,0.01276823769197642,0.06391215471869022,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,0.6629356317494407,0.7269948198594307,724800.9902,-19589.5098,0.026316173836178725,0.011931862842401966,0.014055437135626918,0.08811505441314738,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,0.7269948198594307,0.5431743831959167,718480.4552,-25910.044800000032,0.03480706000412422,0.00892347816149281,0.010381685574067177,0.33841882524348005,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,0.5431743831959167,0.814761574793875,706810.7929,-37579.7071,0.05048386176341584,0.015732605731733473,0.018547632715983555,0.3333333333333333,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,0.814761574793875,0.5431743831959167,704612.1769,-39778.32310000004,0.053437440563790156,0.004176779814741928,0.004777816945727745,0.4999999999999999,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_16-32-57-129038_omt_1.300/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
