iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,1.0013295970043026,742416.2711,-1974.2288999999873,0.002652141449951319,,,0.0013278315234867275,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,1.0013295970043026,0.9904382554931168,742231.7997,-2158.700300000026,0.002899956810303229,0.00041128728028118117,0.00044558668386667915,0.010996487111418375,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,0.9904382554931168,1.0236220782632726,741587.9079,-2802.592100000009,0.00376494877352681,0.00011689469154666018,0.0007923634988228173,0.03241804126231534,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,1.0236220782632726,1.3805796260261138,741759.1411,-2631.358899999992,0.0035349173585638074,0.0013454230067763428,0.0012572534527086063,0.25855629116468604,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,1.3805796260261138,1.1964654722394419,751758.1845,7367.684499999974,0.009897606834047418,0.014127987935993153,0.016259634254970425,0.15388171080446042,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,1.1964654722394419,1.5543960599091893,755903.7583,11513.258299999987,0.015466691608772528,0.006528241019039668,0.007149813984114368,0.23026987580672223,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,1.5543960599091893,1.0925786182667365,769557.9322,25167.43220000004,0.03380944840107449,0.01846511970184822,0.02143948348551767,0.4226857764936665,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,1.0925786182667365,0.7283857455111576,769439.4975,25048.997500000056,0.03365034548399,0.0013075266401329914,0.0013214969898884292,0.5000000000000001,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,0.7283857455111576,0.48559049700743845,759157.7861,14767.286100000027,0.019838090491482666,0.010992965177169176,0.014209716066004918,0.49999999999999994,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,0.48559049700743845,0.5035372458385309,742647.0298,-1743.4701999999816,0.0023421446136133945,0.0188063526623981,0.0236569089092753,0.035641353205572816,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
10,0.5035372458385309,0.4895327316552629,727455.6807,-16934.819299999974,0.022749913251176597,0.017527566820392762,0.02220966698305922,0.02860792195838335,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_10/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_10/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
11,0.4895327316552629,0.5105397091839253,712637.9866,-31752.513400000054,0.042655720888431614,0.017404501196811563,0.0221375662156574,0.041146608482699874,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_11/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_11/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
12,0.5105397091839253,0.46115200950301727,699175.4972,-45215.00280000002,0.06074097237941647,0.015969420345588407,0.020480570545210738,0.10709635578544502,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_12/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_12/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
13,0.46115200950301727,0.6062836277171648,685037.0904,-59353.40960000001,0.07973423841384329,0.017259372674724834,0.022063557115626423,0.23937908196632415,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_13/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_13/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
14,0.6062836277171648,0.4041890851447765,675777.1774,-68613.32259999996,0.09217382892446901,0.010803647297767015,0.014369554525046421,0.5000000000000001,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_14/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_14/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
15,0.4041890851447765,0.6062836277171648,661281.1598,-83109.34019999998,0.1116475024869339,0.018517016707392166,0.023622885214213282,0.33333333333333337,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_15/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_15/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
16,0.6062836277171648,0.4041890851447765,653368.2073,-91022.29269999999,0.12227761195232877,0.009356698855144169,0.012656390434308423,0.5000000000000001,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_16/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_16/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
17,0.4041890851447765,0.6062836277171648,640118.4867,-104272.01329999999,0.14007703389551585,0.01751031537254548,0.02243037773393384,0.33333333333333337,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_17/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_17/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
18,0.6062836277171648,0.4041890851447765,633453.0823,-110937.41769999999,0.14903121103775505,0.007957466114532451,0.010950700425325428,0.5000000000000001,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_18/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_18/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
19,0.4041890851447765,0.6062836277171648,621357.3649,-123033.13509999996,0.16528036709227206,0.016536301950531695,0.02123183927554591,0.33333333333333337,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_19/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_19/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
20,0.6062836277171648,0.4041890851447765,615837.0221,-128553.47790000006,0.172696290320739,0.006618640532496989,0.00927808237568785,0.5000000000000001,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_20/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_20/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
21,0.4041890851447765,0.6062836277171648,604805.2904,-139585.20959999994,0.1875161082791894,0.015601618789501533,0.020040962265831776,0.33333333333333337,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_21/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_21/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
22,0.6062836277171648,0.4041890851447765,600365.4282,-144025.07180000003,0.1934805344775357,0.005341802491416786,0.007606198631304408,0.5000000000000001,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_22/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_22/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
23,0.4041890851447765,0.6062836277171648,590305.937,-154084.56299999997,0.20699426309175087,0.014714947234246847,0.01887839799841274,0.33333333333333337,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_23/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_23/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
24,0.6062836277171648,0.4041890851447765,586822.5997,-157567.90029999998,0.21167371198315935,0.004146058818566046,0.006043848898879931,0.5000000000000001,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_24/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_14-12-49-129038_Te_ped_scale_0.700/iteration_24/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
