iteration,amplitude_in,amplitude_next,ip_a,ip_error_a,ip_error_rel,bootstrap_change_rel,q_change_rel,amplitude_change_rel,converged,artifact_dir,eqdsk_path
0,1.0,1.0013623793344988,742367.7271,-2022.7728999999817,0.0027173545336755126,,,0.0013605257822889435,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_00/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_00/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
1,1.0013623793344988,0.9997735822061109,739330.4844,-5060.0156000000425,0.006797528447770414,0.000389513923124655,0.004339014996416756,0.0015891569417967918,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_01/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_01/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
2,0.9997735822061109,1.0028281267732262,736433.2564,-7957.243600000045,0.010689609284374324,0.00036279692274893767,0.004205482786003111,0.003045930290112444,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_02/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_02/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
3,1.0028281267732262,0.9942378591598003,733796.2755,-10594.224500000011,0.014232079130510144,0.000419204697858358,0.004011413682864714,0.008640052814610399,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_03/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_03/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
4,0.9942378591598003,1.0236454679054028,731073.188,-13317.312000000034,0.0178902229407818,0.0003173149948291122,0.003986559714285986,0.028728314311571846,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_04/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_04/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
5,1.0236454679054028,1.2472232500954346,732195.967,-12194.533000000054,0.016381903046855183,0.001162435919941789,0.0016325511895371686,0.17926043486835588,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_05/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_05/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
6,1.2472232500954346,1.350958594519909,739529.5828,-4860.917200000025,0.006530063454598125,0.009301201934310874,0.011300030132477512,0.07678647209860559,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_06/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_06/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
7,1.350958594519909,1.314504128518732,749290.9644,4900.464400000055,0.006583190408797607,0.012331936765801335,0.014888097246784044,0.02773248498067192,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_07/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_07/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
8,1.314504128518732,1.3554322317300198,757405.8804,13015.380400000024,0.017484613788058854,0.010029821815422595,0.012146880799323809,0.030195610118440824,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_08/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_08/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
9,1.3554322317300198,1.283947736929552,766111.0964,21720.59640000004,0.029179034928575848,0.010660235933424108,0.012869866583965769,0.05567554873488596,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_09/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_09/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
10,1.283947736929552,1.5116919732602196,772227.2977,27836.797699999996,0.03739542310118143,0.007353137665314105,0.008911429550093448,0.15065518661152819,False,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_10/artifacts,/pscratch/sd/j/joeschm/cheaseBS_runs/20260923/20260923_15-48-49-129038_omt_0.700/iteration_10/artifacts/EQDSK_COCOS_02_POS_SOURCE_SIGNS.OUT
