#psi, P, q
0.000000000000000000e+00 2.138871740000000136e+04 1.000000001000000083e+00
1.953125000000000000e-03 2.132176108999999997e+04 1.003152363000000102e+00
3.906250000000000000e-03 2.125572288000000117e+04 1.005164490999999938e+00
5.859375000000000000e-03 2.119028243999999904e+04 1.007070807000000068e+00
7.812500000000000000e-03 2.112533145000000150e+04 1.008941477000000031e+00
9.765625000000000000e-03 2.106149687999999878e+04 1.010785862000000090e+00
1.171875000000000000e-02 2.099933751000000120e+04 1.012638329999999920e+00
1.367187500000000000e-02 2.093871336000000156e+04 1.014479380999999902e+00
1.562500000000000000e-02 2.087951249000000098e+04 1.016302505999999939e+00
1.757812500000000000e-02 2.082172636000000057e+04 1.018109653000000003e+00
1.953125000000000000e-02 2.076535753000000113e+04 1.019895824000000006e+00
2.148437500000000000e-02 2.071033510000000024e+04 1.021661944000000100e+00
2.343750000000000000e-02 2.065659872000000178e+04 1.023412699000000092e+00
2.539062500000000000e-02 2.060410912000000098e+04 1.025146271000000109e+00
2.734375000000000000e-02 2.055283436000000074e+04 1.026861250999999919e+00
2.929687499999999653e-02 2.050273099000000002e+04 1.028560182999999961e+00
3.125000000000000000e-02 2.045376183999999921e+04 1.030244546999999899e+00
3.320312500000000000e-02 2.040588022999999885e+04 1.031913252000000059e+00
3.515625000000000000e-02 2.035904150999999911e+04 1.033565830999999990e+00
3.710937500000000000e-02 2.031321935999999914e+04 1.035203319999999927e+00
3.906250000000000000e-02 2.026838579000000027e+04 1.036827522999999918e+00
4.101562500000000000e-02 2.022449492000000100e+04 1.038438737999999972e+00
4.296875000000000000e-02 2.018150259999999980e+04 1.040036798000000040e+00
4.492187499999999306e-02 2.013938785999999891e+04 1.041621628999999993e+00
4.687500000000000000e-02 2.009813073000000077e+04 1.043194087000000048e+00
4.882812500000000000e-02 2.005768845000000147e+04 1.044755225000000065e+00
5.078125000000000000e-02 2.001801699999999983e+04 1.046305462999999936e+00
5.273437500000000694e-02 1.997910137000000032e+04 1.047844913000000044e+00
5.468750000000000000e-02 1.994092535000000134e+04 1.049373722999999980e+00
5.664062500000000000e-02 1.990344918999999936e+04 1.050892466999999941e+00
5.859374999999999306e-02 1.986663353999999890e+04 1.052401954999999889e+00
6.054687500000000000e-02 1.983046469000000070e+04 1.053902633999999949e+00
6.250000000000000000e-02 1.979493754999999874e+04 1.055394691999999912e+00
6.445312500000000000e-02 1.976000987000000168e+04 1.056878495000000084e+00
6.640625000000000000e-02 1.972563773999999830e+04 1.058354414999999937e+00
6.835937500000000000e-02 1.969181940000000031e+04 1.059822725000000077e+00
7.031250000000000000e-02 1.965854381999999896e+04 1.061283782000000064e+00
7.226562500000000000e-02 1.962577622999999949e+04 1.062738090000000080e+00
7.421875000000000000e-02 1.959348577999999907e+04 1.064186140999999974e+00
7.617187500000000000e-02 1.956166468000000168e+04 1.065628221000000098e+00
7.812500000000000000e-02 1.953030184000000008e+04 1.067064610000000080e+00
8.007812500000000000e-02 1.949936925999999949e+04 1.068495659999999958e+00
8.203125000000000000e-02 1.946884005999999863e+04 1.069921711000000109e+00
8.398437500000000000e-02 1.943870457000000170e+04 1.071343001000000017e+00
