# rhot j_bootstrap_diag_a_per_m2
0.0000000000 1.8828005083e+02
0.0560814929 1.4579265910e+02
0.0794733644 1.5965051217e+03
0.0975280453 3.1115548272e+03
0.1128331241 4.7105509474e+03
0.1263889875 6.3934305605e+03
0.1387064939 8.1759447033e+03
0.1500892704 1.0096731256e+04
0.1607340129 1.2079956502e+04
0.1707790543 1.4038633948e+04
0.1803226000 1.6118813981e+04
0.1894401047 1.8295410902e+04
0.1981899240 2.0631877801e+04
0.2066182375 2.3048726597e+04
0.2147635017 2.5635508440e+04
0.2226561381 2.8249873679e+04
0.2303220647 3.0968935019e+04
0.2377835639 3.3674804359e+04
0.2450598324 3.6513772436e+04
0.2521663257 3.9460697584e+04
0.2591175308 4.2553181165e+04
0.2659268724 4.5818599668e+04
0.2726048272 4.9257003713e+04
0.2791611267 5.2868843949e+04
0.2856046729 5.6632349771e+04
0.2919434543 6.0632477456e+04
0.2981846633 6.4861817175e+04
0.3043348018 6.9139222577e+04
0.3104006463 7.3286604277e+04
0.3163874037 7.7047936756e+04
0.3222996493 8.0335308411e+04
0.3281418692 8.3188753682e+04
0.3339181658 8.5507747983e+04
0.3396352674 8.7263677897e+04
0.3452941529 8.8407487379e+04
0.3508979952 8.8952168912e+04
0.3564533913 8.8898112996e+04
0.3619603645 8.8085632639e+04
0.3674224968 8.6580018535e+04
0.3728444123 8.4408473092e+04
0.3782251145 8.1302261539e+04
0.3835724581 7.6981728235e+04
0.3888827342 7.1888831306e+04
0.3941645826 6.6273943408e+04
0.3994136535 6.0294967053e+04
0.4046389927 5.3890698831e+04
0.4098362003 4.7167503080e+04
0.4150123016 4.0067008058e+04
0.4201660845 3.3184031017e+04
0.4252997495 2.7615070062e+04
0.4304180386 2.3757386619e+04
0.4355179299 2.1610603841e+04
0.4406056786 2.0491513358e+04
0.4456812764 2.0165707806e+04
0.4507438957 2.1052577700e+04
0.4557999602 2.3343579823e+04
0.4608488670 2.6809461239e+04
0.4658899918 3.0874335212e+04
0.4709272986 3.4963782397e+04
0.4759648914 3.9178918943e+04
0.4809997913 4.3524914494e+04
0.4860336436 4.7955032440e+04
0.4910714031 5.2482246457e+04
0.4961151213 5.7035857864e+04
0.5011628984 6.1274848160e+04
0.5062164155 6.4868234651e+04
0.5112773699 6.7993535059e+04
0.5163534109 7.0978976870e+04
0.5214413298 7.3871558991e+04
0.5265420670 7.6468312266e+04
0.5316574341 7.8844187869e+04
0.5367892801 8.1033763202e+04
0.5419394964 8.3026543357e+04
0.5471164237 8.4925827823e+04
0.5523157606 8.6659058951e+04
0.5575395537 8.8129267740e+04
0.5627899123 8.9453554707e+04
0.5680690134 9.0629751059e+04
0.5733791073 9.1649708542e+04
0.5787225251 9.2517201992e+04
0.5841016872 9.3238294432e+04
0.5895196835 9.3765390145e+04
0.5949831662 9.4181561141e+04
0.6004902659 9.4377383002e+04
0.6060438360 9.4294806130e+04
0.6116468638 9.4028318532e+04
0.6173024832 9.3550704147e+04
0.6230139887 9.2844901626e+04
0.6287848481 9.1904395633e+04
0.6346187171 9.0708232492e+04
0.6405194576 8.9234464985e+04
0.6464911549 8.7544678250e+04
0.6525381357 8.5809459978e+04
0.6586649900 8.4037754368e+04
0.6648765946 8.2241262419e+04
0.6711781349 8.0416536836e+04
0.6775751322 7.8571499231e+04
0.6840734710 7.6666791136e+04
0.6906794273 7.4712413768e+04
0.6973996999 7.2644992817e+04
0.7042414398 7.0480690581e+04
0.7112122824 6.8169557337e+04
0.7183203804 6.5726346858e+04
0.7255744289 6.3186098391e+04
0.7329836930 6.0560625627e+04
0.7405580250 5.7875289411e+04
0.7483078650 5.5149586108e+04
0.7562442588 5.2409247551e+04
0.7643788841 4.9657869038e+04
0.7727241124 4.6974553857e+04
0.7813110965 4.4396527781e+04
0.7901460168 4.1858403239e+04
0.7992400304 3.9702285651e+04
0.8086108817 3.8515958780e+04
0.8182783130 3.8631295579e+04
0.8282646363 4.0518458024e+04
0.8385954229 4.4971044345e+04
0.8493007844 5.2876086982e+04
0.8604163621 6.5955772347e+04
0.8719798847 8.6193464071e+04
0.8840176078 1.2024135414e+05
0.8965722555 1.6562105260e+05
0.9095251280 2.0659975713e+05
0.9228432501 2.2158594448e+05
0.9365728671 1.9657475738e+05
0.9508428209 1.3917897331e+05
0.9658681908 7.5586220714e+04
0.9820231470 3.2782830128e+04
1.0000000000 1.1802708249e+04
