# rhot j_driven_a_per_m2 j_bootstrap_lagged_a_per_m2 j_total_target_a_per_m2
0.0000000000 7.1599185542e+05 1.9567731492e+02 7.1618753273e+05
0.0560814929 7.1046053447e+05 1.1076524772e+02 7.1057129972e+05
0.0794733644 7.0371649012e+05 1.8442681306e+03 7.0556075825e+05
0.0975280453 6.9732989422e+05 3.7206951152e+03 7.0105058934e+05
0.1128331241 6.9122503163e+05 5.7304784277e+03 6.9695551006e+05
0.1263889875 6.8534388431e+05 7.8591481852e+03 6.9320303249e+05
0.1387064939 6.7959371014e+05 1.0140627907e+04 6.8973433805e+05
0.1500892704 6.7390266219e+05 1.2595717253e+04 6.8649837944e+05
0.1607340129 6.6838505383e+05 1.5068220693e+04 6.8345327452e+05
0.1707790543 6.6297064900e+05 1.7591663874e+04 6.8056231287e+05
0.1803226000 6.5754054630e+05 2.0255750392e+04 6.7779629669e+05
0.1894401047 6.5203291631e+05 2.3096982528e+04 6.7512989884e+05
0.1981899240 6.4645986014e+05 2.6081809970e+04 6.7254167011e+05
0.2066182375 6.4077679678e+05 2.9237471963e+04 6.7001426874e+05
0.2147635017 6.3500443983e+05 3.2526870082e+04 6.6753130991e+05
0.2226561381 6.2918528466e+05 3.5895664760e+04 6.6508094942e+05
0.2303220647 6.2334134354e+05 3.9311474125e+04 6.6265281766e+05
0.2377835639 6.1741923344e+05 4.2817973435e+04 6.6023720687e+05
0.2450598324 6.1132487975e+05 4.6501057793e+04 6.5782593754e+05
0.2521663257 6.0507864219e+05 5.0335736254e+04 6.5541437844e+05
0.2591175308 5.9860990418e+05 5.4386695893e+04 6.5299660007e+05
0.2659268724 5.9189723741e+05 5.8668580860e+04 6.5056581827e+05
0.2726048272 5.8493930698e+05 6.3180312184e+04 6.4811961917e+05
0.2791611267 5.7776804381e+05 6.7886837721e+04 6.4565488153e+05
0.2856046729 5.7029751119e+05 7.2871318614e+04 6.4316882980e+05
0.2919434543 5.6248797128e+05 7.8171080121e+04 6.4065905140e+05
0.2981846633 5.5456610218e+05 8.3557245881e+04 6.3812334806e+05
0.3043348018 5.4676031859e+05 8.8799959322e+04 6.3556027791e+05
0.3104006463 5.3940530697e+05 9.3560870647e+04 6.3296617762e+05
0.3163874037 5.3260613257e+05 9.7734222895e+04 6.3034035547e+05
0.3222996493 5.2632430176e+05 1.0135869976e+05 6.2768300152e+05
0.3281418692 5.2068974886e+05 1.0430384717e+05 6.2499359603e+05
0.3339181658 5.1571062059e+05 1.0656114992e+05 6.2227177051e+05
0.3396352674 5.1148682180e+05 1.0802240615e+05 6.1950922795e+05
0.3452941529 5.0798356944e+05 1.0872916324e+05 6.1671273268e+05
