# rhot Istar_total_input
0.0000000000 1.6123179055e+00
0.0028774214 1.5956565942e+00
0.0057549791 1.5953852356e+00
0.0086328064 1.5950504095e+00
0.0115110298 1.5946520874e+00
0.0143897668 1.5941902887e+00
0.0172691231 1.5936649828e+00
0.0201491919 1.5930765826e+00
0.0230300539 1.5924254958e+00
0.0259117795 1.5917118269e+00
0.0287944319 1.5909362193e+00
0.0316780713 1.5900990733e+00
0.0345627591 1.5892014189e+00
0.0374485619 1.5882437810e+00
0.0403355540 1.5872272171e+00
0.0432238178 1.5861524330e+00
0.0461134441 1.5850205408e+00
0.0490045295 1.5838327838e+00
0.0518971743 1.5825902992e+00
0.0547914798 1.5812941262e+00
0.0576875451 1.5798455447e+00
0.0605854656 1.5782699563e+00
0.0634853326 1.5766503113e+00
0.0663872324 1.5749876374e+00
0.0692912474 1.5732832469e+00
0.0721974555 1.5715381905e+00
0.0751059317 1.5697534625e+00
0.0780167491 1.5679306609e+00
0.0809299797 1.5660381345e+00
0.0838456947 1.5640779627e+00
0.0867639647 1.5620843270e+00
0.0896848588 1.5600589278e+00
0.0926084451 1.5580033559e+00
0.0955347910 1.5559191693e+00
0.0984639626 1.5537961859e+00
0.1013960246 1.5516224704e+00
0.1043310401 1.5494247243e+00
0.1072690708 1.5472043914e+00
0.1102101776 1.5449628320e+00
0.1131544206 1.5426986606e+00
0.1161018587 1.5403931375e+00
0.1190525491 1.5380702986e+00
0.1220065479 1.5357312366e+00
0.1249639105 1.5333772610e+00
0.1279246922 1.5309989092e+00
0.1308889475 1.5285979699e+00
0.1338567298 1.5261850711e+00
0.1368280916 1.5237612448e+00
0.1398030846 1.5213205239e+00
0.1427817607 1.5188585234e+00
0.1457641711 1.5163879831e+00
0.1487503669 1.5139096206e+00
0.1517403985 1.5114134987e+00
0.1547343163 1.5089021715e+00
0.1577321708 1.5063846436e+00
0.1607340129 1.5038611339e+00
0.1637398933 1.5013121607e+00
0.1667498626 1.4987579072e+00
0.1697639716 1.4961986588e+00
0.1727822714 1.4936204070e+00
0.1758048139 1.4910302621e+00
0.1788316520 1.4884353429e+00
0.1818628389 1.4858241173e+00
0.1848984289 1.4831968634e+00
0.1879384765 1.4805646602e+00
0.1909830372 1.4779149906e+00
0.1940321672 1.4752480163e+00
0.1970859241 1.4725754653e+00
0.2001443672 1.4698806204e+00
0.2032075572 1.4671702801e+00
0.2062755561 1.4644531536e+00
0.2093484272 1.4617049289e+00
0.2124262349 1.4589459267e+00
0.2155090454 1.4561720718e+00
0.2185969265 1.4533683139e+00
0.2216899484 1.4505552370e+00
0.2247881833 1.4477124487e+00
0.2278917057 1.4448501952e+00
0.2310005918 1.4419701934e+00
0.2341149198 1.4390550983e+00
0.2372347698 1.4361273339e+00
0.2403602247 1.4331611753e+00
0.2434913701 1.4301754148e+00
0.2466282947 1.4271595891e+00
0.2497710892 1.4241128993e+00
0.2529198469 1.4210422416e+00
0.2560746636 1.4179306736e+00
0.2592356385 1.4147998343e+00
0.2624028743 1.4116192420e+00
0.2655764767 1.4084188091e+00
0.2687565547 1.4051693666e+00
0.2719432198 1.4018949155e+00
0.2751365869 1.3985727190e+00
0.2783367745 1.3952205557e+00
0.2815439055 1.3918205308e+00
0.2847581066 1.3883870570e+00
0.2879795082 1.3849040191e+00
0.2912082446 1.3813855398e+00
0.2944444534 1.3778143124e+00
0.2976882763 1.3742069668e+00
0.3009398598 1.3705427790e+00
0.3041993551 1.3668429862e+00
0.3074669184 1.3630802311e+00
0.3107427106 1.3592801102e+00
0.3140268966 1.3554172576e+00
0.3173196462 1.3515107826e+00
0.3206211340 1.3475458830e+00
0.3239315406 1.3435287554e+00
0.3272510524 1.3394579936e+00
0.3305798616 1.3353256043e+00
0.3339181658 1.3311452286e+00
0.3372661681 1.3268898628e+00
0.3406240775 1.3225836816e+00
0.3439921099 1.3182125788e+00
0.3473704883 1.3137784448e+00
0.3507594423 1.3092873628e+00
0.3541592084 1.3047172209e+00
0.3575700298 1.3000880807e+00
0.3609921577 1.2953893687e+00
0.3644258509 1.2906179921e+00
0.3678713767 1.2857822927e+00
0.3713290106 1.2808649095e+00
0.3747990366 1.2758768782e+00
0.3782817477 1.2708200856e+00
0.3817774458 1.2656718609e+00
0.3852864431 1.2604515154e+00
0.3888090617 1.2551566718e+00
0.3923456342 1.2497657128e+00
0.3958965041 1.2442973030e+00
0.3994620255 1.2387492056e+00
0.4030425646 1.2330991140e+00
0.4066385001 1.2273647134e+00
0.4102502234 1.2215436142e+00
0.4138781392 1.2156196745e+00
0.4175226658 1.2096001955e+00
0.4211842358 1.2034862467e+00
0.4248632969 1.1972710324e+00
0.4285603130 1.1909441961e+00
0.4322757643 1.1845154998e+00
0.4360101482 1.1779819411e+00
0.4397639800 1.1713298108e+00
0.4435377936 1.1645610898e+00
0.4473321431 1.1576782912e+00
0.4511476034 1.1506780185e+00
0.4549847709 1.1435457324e+00
0.4588442650 1.1362840580e+00
0.4627267290 1.1288939306e+00
0.4666328310 1.1213715350e+00
0.4705632661 1.1137079214e+00
0.4745187571 1.1058929840e+00
0.4785000565 1.0979329402e+00
0.4825079474 1.0899390949e+00
0.4865432453 1.0821285774e+00
0.4906068001 1.0751539455e+00
0.4946994983 1.0674580662e+00
0.4988222653 1.0585890141e+00
0.5029760664 1.0490833009e+00
0.5071619098 1.0394452543e+00
0.5113808488 1.0296396906e+00
0.5156339854 1.0196472961e+00
0.5199224729 1.0094863946e+00
0.5242475184 9.9915063836e-01
0.5286103860 9.8863061325e-01
0.5330124004 9.7791677206e-01
0.5374549510 9.6700196931e-01
0.5419394964 9.5588003870e-01
0.5464675676 9.4455667712e-01
0.5510407729 9.3304807923e-01
0.5556608028 9.2134718866e-01
0.5603294370 9.0945272683e-01
0.5650485503 8.9762576531e-01
0.5698201187 8.8605977352e-01
0.5746462262 8.7444450058e-01
0.5795290740 8.6213587828e-01
0.5844709901 8.4920845184e-01
0.5894744383 8.3603837772e-01
0.5945420278 8.2261919498e-01
0.5996765269 8.0895183941e-01
0.6048808761 7.9503316372e-01
0.6101582011 7.8086029445e-01
0.6155118291 7.6643082146e-01
0.6209453078 7.5174309457e-01
0.6264624239 7.3679672271e-01
0.6320672234 7.2159263044e-01
0.6377640365 7.0613358077e-01
0.6435575055 6.9042507117e-01
0.6494526115 6.7447577743e-01
0.6554547064 6.5829821960e-01
0.6615695517 6.4191013794e-01
0.6678033565 6.2533593335e-01
0.6741628195 6.0860747616e-01
0.6806551810 5.9176663277e-01
0.6872882734 5.7486781559e-01
0.6940705811 5.5797976828e-01
0.7010113049 5.4118986736e-01
0.7081204267 5.2460843101e-01
0.7154087912 5.0837240248e-01
0.7228881785 4.9265324380e-01
0.7305713831 4.7766254143e-01
0.7384723024 4.6366234284e-01
0.7466059860 4.5097607816e-01
0.7549887198 4.4001289906e-01
0.7636381232 4.3117737296e-01
0.7725733125 4.2478425567e-01
0.7818151618 4.2114476115e-01
0.7913866121 4.2027754003e-01
0.8013131191 4.2208490626e-01
0.8116232389 4.2632858052e-01
0.8223494966 4.3258101321e-01
0.8335296561 4.4008135406e-01
0.8452083770 4.4812197424e-01
0.8574407698 4.5644386571e-01
0.8702938524 4.9579225037e-01
0.8838179728 6.4130765351e-01
0.8979925273 8.4593691542e-01
0.9127426243 9.7551725615e-01
0.9280391123 9.3173641976e-01
0.9439836025 7.8960383390e-01
0.9608537492 4.5082284179e-01
0.9791224167 2.6383045662e-01
1.0000000000 1.1862136898e-01
