# rhot Istar_total_target
0.0000000000 1.6428482299e+00
0.0028774214 1.5952574834e+00
0.0057549791 1.5946671446e+00
0.0086328064 1.5940648413e+00
0.0115110298 1.5934475211e+00
0.0143897668 1.5928122679e+00
0.0172691231 1.5921563938e+00
0.0201491919 1.5914779216e+00
0.0230300539 1.5907746738e+00
0.0259117795 1.5900441625e+00
0.0287944319 1.5892845122e+00
0.0316780713 1.5884938951e+00
0.0345627591 1.5876715397e+00
0.0374485619 1.5868159744e+00
0.0403355540 1.5859263204e+00
0.0432238178 1.5850014371e+00
0.0461134441 1.5840407881e+00
0.0490045295 1.5830443965e+00
0.0518971743 1.5820119834e+00
0.0547914798 1.5809431748e+00
0.0576875451 1.5795518276e+00
0.0605854656 1.5779071751e+00
0.0634853326 1.5762428751e+00
0.0663872324 1.5745585213e+00
0.0692912474 1.5728539624e+00
0.0721974555 1.5711288584e+00
0.0751059317 1.5693828929e+00
0.0780167491 1.5676167312e+00
0.0809299797 1.5657371556e+00
0.0838456947 1.5637460220e+00
0.0867639647 1.5617372772e+00
0.0896848588 1.5597115081e+00
0.0926084451 1.5576695455e+00
0.0955347910 1.5556123123e+00
0.0984639626 1.5535068169e+00
0.1013960246 1.5513156155e+00
0.1043310401 1.5491116551e+00
0.1072690708 1.5468959040e+00
0.1102101776 1.5446694628e+00
0.1131544206 1.5424254016e+00
0.1161018587 1.5401073928e+00
0.1190525491 1.5377813247e+00
0.1220065479 1.5354480904e+00
0.1249639105 1.5331090170e+00
0.1279246922 1.5307348405e+00
0.1308889475 1.5283284426e+00
0.1338567298 1.5259187032e+00
0.1368280916 1.5235067136e+00
0.1398030846 1.5210737541e+00
0.1427817607 1.5186061811e+00
0.1457641711 1.5161390946e+00
0.1487503669 1.5136734304e+00
0.1517403985 1.5111800535e+00
0.1547343163 1.5086653328e+00
0.1577321708 1.5061544389e+00
0.1607340129 1.5036479968e+00
0.1637398933 1.5010896019e+00
0.1667498626 1.4985369205e+00
0.1697639716 1.4959907681e+00
0.1727822714 1.4934114914e+00
0.1758048139 1.4908194059e+00
0.1788316520 1.4882354083e+00
0.1818628389 1.4856271067e+00
0.1848984289 1.4829958526e+00
0.1879384765 1.4803740434e+00
0.1909830372 1.4777270304e+00
0.1940321672 1.4750560181e+00
0.1970859241 1.4723954438e+00
0.2001443672 1.4696990298e+00
0.2032075572 1.4669871288e+00
0.2062755561 1.4642861102e+00
0.2093484272 1.4615278112e+00
0.2124262349 1.4587719621e+00
0.2155090454 1.4560082195e+00
0.2185969265 1.4531952539e+00
0.2216899484 1.4503933629e+00
0.2247881833 1.4475461393e+00
0.2278917057 1.4446843434e+00
0.2310005918 1.4418149241e+00
0.2341149198 1.4388899951e+00
0.2372347698 1.4359754826e+00
0.2403602247 1.4329995581e+00
0.2434913701 1.4300181423e+00
0.2466282947 1.4270030116e+00
0.2497710892 1.4239537409e+00
0.2529198469 1.4208922617e+00
0.2560746636 1.4177720246e+00
0.2592356385 1.4146567123e+00
0.2624028743 1.4114612772e+00
0.2655764767 1.4082732259e+00
0.2687565547 1.4050112617e+00
0.2719432198 1.4017458158e+00
0.2751365869 1.3984141544e+00
0.2783367745 1.3950691163e+00
0.2815439055 1.3916612452e+00
0.2847581066 1.3882341343e+00
0.2879795082 1.3847434116e+00
0.2912082446 1.3812318423e+00
0.2944444534 1.3776520210e+00
0.2976882763 1.3740535051e+00
0.3009398598 1.3703789399e+00
0.3041993551 1.3666912320e+00
0.3074669184 1.3629140745e+00
0.3107427106 1.3591230148e+00
0.3140268966 1.3552476217e+00
0.3173196462 1.3513447218e+00
0.3206211340 1.3473738801e+00
0.3239315406 1.3433552155e+00
0.3272510524 1.3392867530e+00
0.3305798616 1.3351478837e+00
0.3339181658 1.3309798103e+00
0.3372661681 1.3267079793e+00
0.3406240775 1.3224033189e+00
0.3439921099 1.3180279396e+00
0.3473704883 1.3135898423e+00
0.3507594423 1.3091086364e+00
0.3541592084 1.3045235598e+00
0.3575700298 1.2998947162e+00
0.3609921577 1.2951943107e+00
0.3644258509 1.2904161061e+00
0.3678713767 1.2855865363e+00
0.3713290106 1.2806587843e+00
0.3747990366 1.2756673520e+00
0.3782817477 1.2706206019e+00
0.3817774458 1.2654565455e+00
0.3852864431 1.2602333297e+00
0.3888090617 1.2549476909e+00
0.3923456342 1.2495408366e+00
0.3958965041 1.2440694371e+00
0.3994620255 1.2385308159e+00
0.4030425646 1.2328647686e+00
0.4066385001 1.2271255384e+00
0.4102502234 1.2213100119e+00
0.4138781392 1.2153763413e+00
0.4175226658 1.2093492872e+00
0.4211842358 1.2032363620e+00
0.4248632969 1.1970226067e+00
0.4285603130 1.1906830744e+00
0.4322757643 1.1842504851e+00
0.4360101482 1.1777214603e+00
0.4397639800 1.1710620310e+00
0.4435377936 1.1642832423e+00
0.4473321431 1.1573980320e+00
0.4511476034 1.1504028243e+00
0.4549847709 1.1432622067e+00
0.4588442650 1.1359899943e+00
0.4627267290 1.1285961018e+00
0.4666328310 1.1210764999e+00
0.4705632661 1.1134130467e+00
0.4745187571 1.1055846685e+00
0.4785000565 1.0976171148e+00
0.4825079474 1.0898373141e+00
0.4865432453 1.0828741784e+00
0.4906068001 1.0786014443e+00
0.4946994983 1.0725800034e+00
0.4988222653 1.0635286687e+00
0.5029760664 1.0529907311e+00
0.5071619098 1.0424182694e+00
0.5113808488 1.0317220874e+00
0.5156339854 1.0208587030e+00
0.5199224729 1.0098927273e+00
0.5242475184 9.9881846675e-01
0.5286103860 9.8762187499e-01
0.5330124004 9.7628938016e-01
0.5374549510 9.6481105945e-01
0.5419394964 9.5317053914e-01
0.5464675676 9.4138080892e-01
0.5510407729 9.2948669065e-01
0.5556608028 9.1746780045e-01
0.5603294370 9.0532146952e-01
0.5650485503 8.9379575232e-01
0.5698201187 8.8344646435e-01
0.5746462262 8.7339113022e-01
0.5795290740 8.6179429080e-01
0.5844709901 8.4887426239e-01
0.5894744383 8.3571153491e-01
0.5945420278 8.2229370281e-01
0.5996765269 8.0862954973e-01
0.6048808761 7.9471591493e-01
0.6101582011 7.8054991844e-01
0.6155118291 7.6612907560e-01
0.6209453078 7.5145169878e-01
0.6264624239 7.3651758059e-01
0.6320672234 7.2132770984e-01
0.6377640365 7.0588481790e-01
0.6435575055 6.9019465762e-01
0.6494526115 6.7426619409e-01
0.6554547064 6.5811198458e-01
0.6615695517 6.4174997410e-01
0.6678033565 6.2520502956e-01
0.6741628195 6.0850902189e-01
0.6806551810 5.9170381077e-01
0.6872882734 5.7484411026e-01
0.6940705811 5.5799813222e-01
0.7010113049 5.4125254103e-01
0.7081204267 5.2471698289e-01
0.7154087912 5.0852623422e-01
0.7228881785 4.9284942086e-01
0.7305713831 4.7789487265e-01
0.7384723024 4.6391906098e-01
0.7466059860 4.5124554617e-01
0.7549887198 4.4027239590e-01
0.7636381232 4.3139052275e-01
0.7725733125 4.2491300333e-01
0.7818151618 4.2134862186e-01
0.7913866121 4.2059955007e-01
0.8013131191 4.2249607074e-01
0.8116232389 4.2679242147e-01
0.8223494966 4.3303340059e-01
0.8335296561 4.4057616016e-01
0.8452083770 4.4846612925e-01
0.8574407698 4.6064750061e-01
0.8702938524 5.0446180248e-01
0.8838179728 6.4575234145e-01
0.8979925273 8.4876823263e-01
0.9127426243 9.6242910900e-01
0.9280391123 8.4620234360e-01
0.9439836025 8.1620984543e-01
0.9608537492 4.4970701796e-01
0.9791224167 2.8173819176e-01
1.0000000000 1.0283453852e-01
