# rhot q
0.0000000000 1.0000000010e+00
0.0560814929 1.0081014200e+00
0.0794733644 1.0151332033e+00
0.0975280453 1.0219517530e+00
0.1128331241 1.0285188235e+00
0.1263889875 1.0348638934e+00
0.1387064939 1.0410063495e+00
0.1500892704 1.0469745519e+00
0.1607340129 1.0527938464e+00
0.1707790543 1.0584895978e+00
0.1803226000 1.0640828029e+00
0.1894401047 1.0695926691e+00
0.1981899240 1.0750368889e+00
0.2066182375 1.0804356362e+00
0.2147635017 1.0858009249e+00
0.2226561381 1.0911475389e+00
0.2303220647 1.0964904428e+00
0.2377835639 1.1018429041e+00
0.2450598324 1.1072117131e+00
0.2521663257 1.1126137614e+00
0.2591175308 1.1180583535e+00
0.2659268724 1.1235530394e+00
0.2726048272 1.1291082941e+00
0.2791611267 1.1347321943e+00
0.2856046729 1.1404335825e+00
0.2919434543 1.1462215366e+00
0.2981846633 1.1521031638e+00
0.3043348018 1.1580849147e+00
0.3104006463 1.1641750101e+00
0.3163874037 1.1703840620e+00
0.3222996493 1.1767229185e+00
0.3281418692 1.1831897110e+00
0.3339181658 1.1897903245e+00
0.3396352674 1.1965395730e+00
0.3452941529 1.2034505789e+00
0.3508979952 1.2105125178e+00
0.3564533913 1.2177446267e+00
0.3619603645 1.2251618864e+00
0.3674224968 1.2327471033e+00
0.3728444123 1.2405424551e+00
0.3782251145 1.2485240480e+00
0.3835724581 1.2567233028e+00
0.3888827342 1.2651337916e+00
0.3941645826 1.2737746880e+00
0.3994136535 1.2826464585e+00
0.4046389927 1.2917698257e+00
0.4098362003 1.3011367137e+00
0.4150123016 1.3107848770e+00
0.4201660845 1.3206831168e+00
0.4252997495 1.3309022175e+00
0.4304180386 1.3413974381e+00
0.4355179299 1.3522108105e+00
0.4406056786 1.3633544704e+00
0.4456812764 1.3748076320e+00
0.4507438957 1.3866406759e+00
0.4557999602 1.3988320504e+00
0.4608488670 1.4113838881e+00
0.4658899918 1.4243751523e+00
0.4709272986 1.4377774127e+00
0.4759648914 1.4515995861e+00
0.4809997913 1.4658780029e+00
0.4860336436 1.4806109587e+00
0.4910714031 1.4957446920e+00
0.4961151213 1.5112235943e+00
0.5011628984 1.5270386286e+00
0.5062164155 1.5433260838e+00
0.5112773699 1.5602200209e+00
0.5163534109 1.5778153061e+00
0.5214413298 1.5961741873e+00
0.5265420670 1.6153965324e+00
0.5316574341 1.6354328023e+00
0.5367892801 1.6563062453e+00
0.5419394964 1.6780452939e+00
0.5471164237 1.7007131206e+00
0.5523157606 1.7244104588e+00
0.5575395537 1.7491017287e+00
0.5627899123 1.7748039846e+00
0.5680690134 1.8015377809e+00
0.5733791073 1.8292830189e+00
0.5787225251 1.8580060746e+00
0.5841016872 1.8877430018e+00
0.5895196835 1.9186685314e+00
0.5949831662 1.9509592534e+00
0.6004902659 1.9846582336e+00
0.6060438360 2.0198735141e+00
0.6116468638 2.0567038959e+00
0.6173024832 2.0952456471e+00
0.6230139887 2.1356022539e+00
0.6287848481 2.1778913229e+00
0.6346187171 2.2222457214e+00
0.6405194576 2.2688138383e+00
0.6464911549 2.3177571768e+00
0.6525381357 2.3692478901e+00
0.6586649900 2.4234734375e+00
0.6648765946 2.4806401536e+00
0.6711781349 2.5409716454e+00
0.6775751322 2.6047137125e+00
0.6840734710 2.6721375501e+00
0.6906794273 2.7435363082e+00
0.6973996999 2.8192323467e+00
0.7042414398 2.8995774532e+00
0.7112122824 2.9849526509e+00
0.7183203804 3.0757781051e+00
0.7255744289 3.1725004987e+00
0.7329836930 3.2756077834e+00
0.7405580250 3.3856208782e+00
0.7483078650 3.5030820951e+00
0.7562442588 3.6285899916e+00
0.7643788841 3.7627771538e+00
0.7727241124 3.9063716892e+00
0.7813110965 4.0605269372e+00
0.7901460168 4.2261043288e+00
0.7992400304 4.4042056678e+00
0.8086108817 4.5962622235e+00
0.8182783130 4.8040454613e+00
0.8282646363 5.0297933547e+00
0.8385954229 5.2763383125e+00
0.8493007844 5.5473557994e+00
0.8604163621 5.8472415632e+00
0.8719798847 6.1783214379e+00
0.8840176078 6.5260579791e+00
0.8965722555 6.8590664744e+00
0.9095251280 7.1712589692e+00
0.9228432501 7.4982975038e+00
0.9365728671 7.8804331608e+00
0.9508428209 8.3739190947e+00
0.9658681908 9.0562775814e+00
0.9820231470 1.0067103232e+01
1.0000000000 1.1728604941e+01
